,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
159,2677,2677,12333877,1120,False,3,3,21,6.5e-05,0.885714,0.386292,55,ReLU(),120,0.910569,0.809231,0.885714,0.751851,0.905063,0.796571,0.942857,0.877622,True,0.016569999999999974,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.72421469664235,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
174,8574,8574,12339774,920,False,1,1,21,5.6e-05,0.9,0.400426,50,ReLU(),120,0.873984,0.735858,0.9,0.789352,0.879747,0.747706,0.885714,0.765375,False,0.017344000000000026,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7229949488648301,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
35,12377,12377,12343577,1420,False,6,6,21,5.2e-05,0.871429,0.434183,39,ReLU(),120,0.886179,0.755926,0.871429,0.721137,0.882911,0.748242,0.857143,0.708113,True,0.00983333333333336,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7537723178718957,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
2,18404,18404,12349604,1320,False,5,5,21,3.8e-05,0.885714,0.622281,13,ReLU(),120,0.910569,0.80296,0.885714,0.752788,0.905063,0.791811,0.885714,0.765375,True,0.016569999999999974,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8588012360337903,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
120,24523,24523,12355723,820,False,0,0,21,5.7e-05,0.901408,0.395115,44,ReLU(),120,0.881633,0.749393,0.901408,0.781378,0.886076,0.754954,0.914286,0.822753,False,0.013183333333333325,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7479180217752178,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
262,28232,28232,12359432,1520,False,7,7,21,6.8e-05,0.914286,0.366109,59,ReLU(),120,0.910569,0.806026,0.914286,0.818895,0.911392,0.808647,0.885714,0.765375,False,0.0024780000000000544,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7013120625114302,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
360,38022,38022,12369222,1220,False,4,4,21,6.9e-05,0.885714,0.338998,61,ReLU(),120,0.947154,0.887401,0.885714,0.759841,0.933544,0.858971,0.885714,0.75333,True,0.04096000000000003,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7052634699541854,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
48,44794,44794,12375994,1020,False,2,2,21,3.7e-05,0.971429,0.620626,7,ReLU(),120,0.780488,0.509931,0.971429,0.936594,0.838608,0.641566,0.8,0.560968,True,0.12729400000000002,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8048800276725556,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
82,46217,46217,12377417,1020,False,2,2,21,4.8e-05,0.857143,0.462715,38,ReLU(),120,0.837398,0.658371,0.857143,0.681919,0.844937,0.669706,0.914286,0.822753,False,0.013163333333333341,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7614096494080546,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
248,55649,55649,12386849,1320,False,5,5,21,5.9e-05,0.942857,0.335696,57,ReLU(),120,0.882114,0.745575,0.942857,0.880705,0.898734,0.783261,0.8,0.59172,False,0.04049533333333333,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6840398936172363,Global,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
