,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
42,2280,2280,12333480,1018,False,2,2,19,9.1e-05,0.914286,0.240317,96,ReLU(),118,0.934959,0.859212,0.914286,0.818895,0.93038,0.84997,0.942857,0.877622,True,0.013781999999999961,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8994598238191096,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
51,7547,7547,12338747,1018,False,2,2,19,8.9e-05,0.942857,0.293213,95,ReLU(),118,0.926829,0.841915,0.942857,0.87831,0.93038,0.84997,0.942857,0.880705,True,0.010685333333333288,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8984322989117458,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
21,11615,11615,12342815,918,False,1,1,19,7.8e-05,0.928571,0.258814,92,ReLU(),118,0.922764,0.834284,0.928571,0.845016,0.924051,0.836586,0.914286,0.822753,False,0.0038713333333333377,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8850712359832494,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
49,18794,18794,12349994,1418,False,6,6,19,8.8e-05,0.9,0.307493,94,ReLU(),118,0.930894,0.848698,0.9,0.79402,0.924051,0.835571,0.857143,0.708113,False,0.020595999999999986,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.874285978681116,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
39,23631,23631,12354831,1018,False,2,2,19,7.7e-05,0.929577,0.271109,94,ReLU(),118,0.918367,0.824339,0.929577,0.845145,0.920886,0.828831,0.942857,0.880705,False,0.0074733333333332945,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8888287174542517,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
93,28271,28271,12359471,1018,False,2,2,19,8.2e-05,0.914286,0.293254,95,ReLU(),118,0.918699,0.825729,0.914286,0.814532,0.917722,0.823228,0.914286,0.822753,False,0.002942,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.888117731522765,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
67,36135,36135,12367335,1518,False,7,7,19,8.6e-05,0.914286,0.304203,92,ReLU(),118,0.943089,0.877567,0.914286,0.818895,0.936709,0.864369,0.885714,0.75333,False,0.01920199999999994,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.888806381799932,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
275,44755,44755,12375955,818,False,0,0,19,8.6e-05,0.816901,0.393008,91,ReLU(),118,0.934694,0.858057,0.816901,0.611749,0.908228,0.801928,0.885714,0.765375,False,0.07852866666666669,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8771728424099194,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
76,45922,45922,12377122,918,False,1,1,19,8.4e-05,0.942857,0.249781,96,ReLU(),118,0.926829,0.841784,0.942857,0.875595,0.936709,0.862604,0.914286,0.822753,True,0.010685333333333288,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8936811764961541,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
26,53968,53968,12385168,1418,False,6,6,19,9.4e-05,0.957143,0.232061,88,ReLU(),118,0.922764,0.832248,0.957143,0.910028,0.93038,0.84997,0.914286,0.822753,True,0.02291933333333329,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8838015648704554,Global,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
