,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1173,1173,12332373,1498,False,6,6,99,5.8e-05,0.985714,0.112019,96,ReLU(),198,0.97561,0.9467,0.985714,0.969624,0.977848,0.951883,0.942857,0.877622,True,0.0067360000000000015,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9889495275741208,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
207,9144,9144,12340344,898,False,0,0,99,4.9e-05,0.971831,0.213497,54,ReLU(),198,0.938776,0.86794,0.971831,0.940105,0.955696,0.904492,0.942857,0.880705,False,0.02203666666666663,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9581538460862723,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
3,12102,12102,12343302,998,False,1,1,99,5.7e-05,0.957143,0.17052,92,ReLU(),198,0.96748,0.929872,0.957143,0.906327,0.968354,0.931484,0.971429,0.939651,False,0.007474000000000054,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9871947368308844,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
27,17200,17200,12348400,1598,False,7,7,99,5.8e-05,0.957143,0.149392,87,ReLU(),198,0.963415,0.919677,0.957143,0.910028,0.962025,0.917164,0.857143,0.708113,False,0.00418133333333337,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9766479082606733,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
7,22985,22985,12354185,1598,False,7,7,99,5.8e-05,0.957747,0.165158,83,ReLU(),198,0.963265,0.919683,0.957747,0.908654,0.962025,0.917164,0.971429,0.939651,False,0.003678666666666682,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.975464092150162,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
24,29918,29918,12361118,1398,False,5,5,99,5.6e-05,0.942857,0.203887,81,ReLU(),198,0.96748,0.929495,0.942857,0.87831,0.96519,0.924715,0.914286,0.815076,False,0.016415333333333375,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9709272707137855,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
31,35461,35461,12366661,1398,False,5,5,99,5e-05,0.942857,0.209472,61,ReLU(),198,0.963415,0.9216,0.942857,0.875061,0.958861,0.91122,0.857143,0.691861,False,0.013705333333333384,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9751076053037355,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
118,39797,39797,12370997,1298,False,4,4,99,5.3e-05,0.942857,0.164543,68,ReLU(),198,0.951219,0.893997,0.942857,0.87831,0.949367,0.890333,0.885714,0.75333,False,0.005574666666666728,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9558712509518313,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
18,45043,45043,12376243,1598,False,7,7,99,6e-05,0.971429,0.144191,96,ReLU(),198,0.96748,0.929103,0.971429,0.938537,0.968354,0.931116,0.942857,0.880705,False,0.0026326666666666534,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9719410625030525,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,52485,52485,12383685,1398,False,5,5,99,6.1e-05,1.0,0.086306,97,ReLU(),198,0.979675,0.955537,1.0,1.0,0.984177,0.965566,0.914286,0.822753,True,0.013550000000000026,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9962725438758646,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
5,56576,56576,12387776,1198,False,3,3,99,5.6e-05,0.957747,0.195274,82,ReLU(),198,0.971429,0.938095,0.957747,0.906978,0.971519,0.937963,0.885714,0.765375,False,0.009181333333333338,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9824980898416267,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
26,64172,64172,12395372,1398,False,5,5,99,5.8e-05,0.942857,0.192569,95,ReLU(),198,0.971545,0.937889,0.942857,0.880705,0.96519,0.924715,0.971429,0.941469,False,0.019125333333333366,ionosphere,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.958571815775152,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
61,67903,67903,12399103,1198,False,3,3,99,5.2e-05,0.971429,0.152635,73,ReLU(),198,0.963415,0.921215,0.971429,0.937268,0.96519,0.924715,0.942857,0.877622,False,0.005342666666666644,ionosphere,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9806821178111125,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
56,76087,76087,12407287,1598,False,7,7,99,5.8e-05,0.942857,0.168001,93,ReLU(),198,0.971545,0.93794,0.942857,0.87831,0.96519,0.924284,0.885714,0.765375,False,0.019125333333333366,ionosphere,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9584764143393076,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
3,79728,79728,12410928,998,False,1,1,99,5.7e-05,0.957143,0.164281,90,ReLU(),198,0.96748,0.929103,0.957143,0.908295,0.96519,0.924284,0.942857,0.880705,False,0.00689133333333336,ionosphere,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9822637599025339,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
156,86826,86826,12418026,1198,False,3,3,99,5.1e-05,0.928571,0.279128,59,ReLU(),198,0.955285,0.904998,0.928571,0.845016,0.949367,0.892016,0.914286,0.820768,False,0.017809333333333344,ionosphere,1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9512444755768159,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
12,90683,90683,12421883,1298,False,4,4,99,5.7e-05,0.957143,0.176175,94,ReLU(),198,0.96748,0.929103,0.957143,0.908295,0.96519,0.924284,0.942857,0.880705,False,0.00689133333333336,ionosphere,16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9815178320264197,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
5,97234,97234,12428434,1098,False,2,2,99,6e-05,0.957143,0.142984,97,ReLU(),198,0.979675,0.955773,0.957143,0.908295,0.974684,0.945068,0.885714,0.75333,False,0.015021333333333331,ionosphere,6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9821633856733013,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
14,102862,102862,12434062,2595,False,1,1,96,3.8e-05,0.798701,0.481478,84,SELU(),395,0.776952,0.496202,0.798701,0.564043,0.786127,0.530678,0.789474,0.524442,False,0.014499333333333345,diabetes,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9373660518452436,Global,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
