,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1173,1173,12332373,1498,False,6,6,99,5.8e-05,0.985714,0.112019,96,ReLU(),198,0.97561,0.9467,0.985714,0.969624,0.977848,0.951883,0.942857,0.877622,True,0.0067360000000000015,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9745548465733748,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
220,9144,9144,12340344,898,False,0,0,99,4.9e-05,0.971831,0.213497,54,ReLU(),198,0.938776,0.86794,0.971831,0.940105,0.955696,0.904492,0.942857,0.880705,False,0.02203666666666663,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9566481424969848,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
2,12102,12102,12343302,998,False,1,1,99,5.7e-05,0.957143,0.17052,92,ReLU(),198,0.96748,0.929872,0.957143,0.906327,0.968354,0.931484,0.971429,0.939651,False,0.007474000000000054,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9889189374878113,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
91,17200,17200,12348400,1598,False,7,7,99,5.8e-05,0.957143,0.149392,87,ReLU(),198,0.963415,0.919677,0.957143,0.910028,0.962025,0.917164,0.857143,0.708113,False,0.00418133333333337,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9241664382435533,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,22610,22610,12353810,1098,False,2,2,99,5.4e-05,0.957747,0.169766,74,ReLU(),198,0.955102,0.90324,0.957747,0.906978,0.955696,0.903874,1.0,1.0,True,0.001763333333333339,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9716550966721211,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
5,29267,29267,12360467,1098,False,2,2,99,5.2e-05,0.942857,0.190035,67,ReLU(),198,0.95935,0.912582,0.942857,0.875595,0.955696,0.904492,0.942857,0.880705,False,0.010995333333333393,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9611003768057889,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
45,36833,36833,12368033,898,False,0,0,99,5.7e-05,0.929577,0.215012,81,ReLU(),198,0.967347,0.929345,0.929577,0.845145,0.958861,0.910664,0.885714,0.75333,False,0.02517999999999998,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.943513665344373,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
94,39857,39857,12371057,1198,False,3,3,99,4.7e-05,0.942857,0.214592,47,ReLU(),198,0.947154,0.886818,0.942857,0.875595,0.952532,0.897777,0.914286,0.822753,False,0.006450000000000067,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9536827029216496,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
9,45043,45043,12376243,1598,False,7,7,99,6e-05,0.971429,0.144191,96,ReLU(),198,0.96748,0.929103,0.971429,0.938537,0.968354,0.931116,0.942857,0.880705,False,0.0026326666666666534,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9660480764346049,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
21,52485,52485,12383685,1398,False,5,5,99,6.1e-05,1.0,0.086306,97,ReLU(),198,0.979675,0.955537,1.0,1.0,0.984177,0.965566,0.914286,0.822753,True,0.013550000000000026,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9750741219378061,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
8,56040,56040,12387240,898,False,0,0,99,5.2e-05,0.957747,0.200102,71,ReLU(),198,0.959184,0.911919,0.957747,0.906978,0.958861,0.910664,0.914286,0.822753,False,0.0009580000000000144,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9640362275590364,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
28,63575,63575,12394775,1298,False,4,4,99,5.7e-05,0.942857,0.188119,92,ReLU(),198,0.963415,0.920106,0.942857,0.87831,0.958861,0.9103,1.0,1.0,False,0.013705333333333384,ionosphere,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9607787561676658,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
51,67903,67903,12399103,1198,False,3,3,99,5.2e-05,0.971429,0.152635,73,ReLU(),198,0.963415,0.921215,0.971429,0.937268,0.96519,0.924715,0.942857,0.877622,False,0.005342666666666644,ionosphere,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.97098348899764,Global,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
