,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
29,1131,1131,12332331,1832,False,2,2,33,5.5e-05,0.914286,0.316563,47,LeakyReLU(negative_slope=0.01),232,0.918699,0.828193,0.914286,0.818895,0.924051,0.839249,0.942857,0.877622,True,0.006509999999999942,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7693443221912462,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
62,9567,9567,12340767,2332,False,7,7,33,5.2e-05,0.942857,0.325363,47,LeakyReLU(negative_slope=0.01),232,0.902439,0.793202,0.942857,0.880705,0.911392,0.813041,0.942857,0.880705,True,0.026945333333333304,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7705548761749508,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
161,11697,11697,12342897,2132,False,5,5,33,4.9e-05,0.885714,0.426271,45,LeakyReLU(negative_slope=0.01),232,0.890244,0.764512,0.885714,0.759841,0.892405,0.769957,0.857143,0.708113,False,0.004460666666666668,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7520017543424077,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
70,20311,20311,12351511,1932,False,3,3,33,4.8e-05,0.828571,0.475433,38,LeakyReLU(negative_slope=0.01),232,0.882114,0.745278,0.828571,0.640723,0.870253,0.721365,0.828571,0.650444,False,0.035695333333333336,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7467989366973333,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
139,25288,25288,12356488,1732,False,1,1,33,5.1e-05,0.915493,0.381688,43,LeakyReLU(negative_slope=0.01),232,0.885714,0.755521,0.915493,0.814478,0.89557,0.77508,0.914286,0.822753,False,0.019852666666666668,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7654755025740574,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
154,31066,31066,12362266,2032,False,4,4,33,5.4e-05,0.871429,0.358061,50,LeakyReLU(negative_slope=0.01),232,0.910569,0.807454,0.871429,0.730297,0.901899,0.789915,0.914286,0.822753,False,0.026093333333333302,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7508063509442606,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
528,39158,39158,12370358,1832,False,2,2,33,6e-05,0.842857,0.420343,56,LeakyReLU(negative_slope=0.01),232,0.947154,0.888049,0.842857,0.649651,0.924051,0.837809,0.857143,0.691861,True,0.06953133333333339,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7346673238709074,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
77,39995,39995,12371195,1732,False,1,1,33,5.9e-05,0.9,0.351209,50,LeakyReLU(negative_slope=0.01),232,0.910569,0.80865,0.9,0.777337,0.911392,0.808647,0.942857,0.880705,True,0.0075946666666666385,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7627051053566485,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
53,45777,45777,12376977,1632,False,0,0,33,4.9e-05,0.887324,0.397652,33,LeakyReLU(negative_slope=0.01),232,0.873469,0.73238,0.887324,0.761091,0.879747,0.745393,0.914286,0.822753,False,0.009236666666666634,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7789569504378949,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
198,53223,53223,12384423,1632,False,0,0,33,4.9e-05,0.901408,0.404567,39,LeakyReLU(negative_slope=0.01),232,0.873469,0.733554,0.901408,0.795234,0.886076,0.760773,0.742857,0.467293,False,0.01862599999999996,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7295964806508073,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
263,60454,60454,12391654,2032,False,4,4,33,5.1e-05,0.84507,0.447784,48,LeakyReLU(negative_slope=0.01),232,0.910204,0.809822,0.84507,0.669646,0.89557,0.778366,0.8,0.59172,False,0.043422666666666686,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.729819438004789,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
89,65198,65198,12396398,1932,False,3,3,33,5.3e-05,0.871429,0.450807,47,LeakyReLU(negative_slope=0.01),232,0.918699,0.823423,0.871429,0.730297,0.908228,0.801928,0.971429,0.939651,True,0.03151333333333336,ionosphere,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7608359355728196,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
76,67653,67653,12398853,2332,False,7,7,33,4.7e-05,0.9,0.404136,43,LeakyReLU(negative_slope=0.01),232,0.894309,0.777811,0.9,0.789352,0.898734,0.786896,0.914286,0.822753,False,0.003794000000000001,ionosphere,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.768198852301287,Global,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
