,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,group,policy,mcdm_tuples
1173,1173,12332373,1498,False,6,6,99,5.8e-05,0.985714,0.112019,96,ReLU(),198,0.97561,0.9467,0.985714,0.969624,0.977848,0.951883,0.942857,0.877622,True,0.0067360000000000015,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
7129,7129,12338329,1498,False,6,6,99,5e-05,0.942857,0.224717,66,ReLU(),198,0.955285,0.902881,0.942857,0.877363,0.952532,0.897098,0.942857,0.880705,False,0.008285333333333403,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
14962,14962,12346162,1298,False,4,4,99,5.7e-05,0.928571,0.227849,92,ReLU(),198,0.971545,0.938832,0.928571,0.844072,0.96519,0.924715,0.942857,0.880705,False,0.028649333333333304,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
21820,21820,12353020,1298,False,4,4,99,5.5e-05,0.9,0.254437,85,ReLU(),198,0.979675,0.955773,0.9,0.789352,0.962025,0.91796,0.857143,0.708113,False,0.053116666666666625,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
24835,24835,12356035,1198,False,3,3,99,5.5e-05,0.943662,0.197072,82,ReLU(),198,0.967347,0.928948,0.943662,0.875959,0.962025,0.917164,0.971429,0.939651,False,0.01578999999999997,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
31918,31918,12363118,898,False,0,0,99,5.9e-05,0.929577,0.247231,96,ReLU(),198,0.979592,0.955676,0.929577,0.849452,0.968354,0.931484,0.885714,0.75333,False,0.03334333333333336,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
36868,36868,12368068,1198,False,3,3,99,4.9e-05,0.928571,0.259318,50,ReLU(),198,0.96748,0.929872,0.928571,0.845016,0.958861,0.91122,0.885714,0.75333,False,0.025939333333333314,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
42241,42241,12373441,1398,False,5,5,99,5.2e-05,0.914286,0.2393,69,ReLU(),198,0.95935,0.911504,0.914286,0.818895,0.949367,0.890333,0.942857,0.880705,False,0.030042666666666662,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
49287,49287,12380487,898,False,0,0,99,6e-05,0.915493,0.21615,95,ReLU(),198,0.97551,0.946872,0.915493,0.814478,0.962025,0.917467,0.914286,0.822753,False,0.04001133333333332,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
52485,52485,12383685,1398,False,5,5,99,6.1e-05,1.0,0.086306,97,ReLU(),198,0.979675,0.955537,1.0,1.0,0.984177,0.965566,0.914286,0.822753,True,0.013550000000000026,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
