,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1667,1667,12332867,2295,False,6,6,96,5.9e-05,0.957143,0.129005,91,LeakyReLU(negative_slope=0.01),295,0.971545,0.937889,0.957143,0.910028,0.971519,0.938268,0.971429,0.939651,True,0.00960133333333335,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9928000624376268,Individual,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,6848,6848,12338048,1694,False,0,0,95,6.1e-05,0.985915,0.151819,98,LeakyReLU(negative_slope=0.01),294,0.97551,0.946586,0.985915,0.969864,0.977848,0.951883,0.971429,0.939651,True,0.006936666666666665,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,1.0,Individual,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,12102,12102,12343302,998,False,1,1,99,5.7e-05,0.957143,0.17052,92,ReLU(),198,0.96748,0.929872,0.957143,0.906327,0.968354,0.931484,0.971429,0.939651,True,0.007474000000000054,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9927620844475054,Individual,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,22209,22209,12353409,2007,False,4,4,8,0.000103,0.871429,0.497984,88,LeakyReLU(negative_slope=0.01),207,0.963415,0.920106,0.871429,0.721137,0.943038,0.875702,0.942857,0.880705,True,0.06132400000000001,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.964130711209497,Individual,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,25753,25753,12356953,1290,False,4,4,91,5.8e-05,0.929577,0.20602,82,ReLU(),190,0.967347,0.929669,0.929577,0.847445,0.96519,0.924284,1.0,1.0,True,0.02517999999999998,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9927259977165573,Individual,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,29095,29095,12360295,1386,False,5,5,87,6.1e-05,0.957143,0.188481,86,ReLU(),186,0.971545,0.938228,0.957143,0.908295,0.968354,0.931484,0.942857,0.880705,True,0.00960133333333335,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.96639005702403,Individual,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,37313,37313,12368513,881,False,0,0,82,6.1e-05,0.929577,0.219024,93,ReLU(),181,0.97551,0.946872,0.929577,0.845145,0.96519,0.924284,0.914286,0.815076,True,0.030622,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9647454192631713,Individual,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,39991,39991,12371191,1194,False,3,3,95,5.5e-05,0.957143,0.138998,78,ReLU(),194,0.96748,0.929872,0.957143,0.906327,0.968354,0.931484,0.942857,0.880705,True,0.007474000000000054,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9927620844475054,Individual,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,46122,46122,12377322,1790,False,1,1,91,6.1e-05,0.985714,0.133235,97,LeakyReLU(negative_slope=0.01),290,0.96748,0.929474,0.985714,0.968475,0.971519,0.937963,0.971429,0.939651,True,0.012155999999999981,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9963771662590821,Individual,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,52914,52914,12384114,1477,False,6,6,78,6.2e-05,1.0,0.105444,94,ReLU(),177,0.97561,0.9467,1.0,1.0,0.981013,0.958716,0.942857,0.880705,True,0.016260000000000014,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9964331222575439,Individual,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
