,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,4158,4158,12335358,905,False,1,1,6,0.000134,0.871429,0.447377,95,ReLU(),105,0.922764,0.833285,0.871429,0.730297,0.911392,0.809891,0.942857,0.880705,True,0.03422333333333335,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9267098953452821,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,6875,6875,12338075,1804,False,2,2,5,0.00012,0.9,0.424071,92,LeakyReLU(negative_slope=0.01),204,0.910569,0.809231,0.9,0.789352,0.908228,0.80475,0.971429,0.939651,True,0.007045999999999959,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9324175716129073,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,14996,14996,12346196,1502,False,7,7,3,0.000104,0.871429,0.634944,53,ReLU(),102,0.914634,0.813103,0.871429,0.721137,0.905063,0.791185,0.942857,0.877622,True,0.028803333333333292,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9292091100428101,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,22209,22209,12353409,2007,False,4,4,8,0.000103,0.871429,0.497984,88,LeakyReLU(negative_slope=0.01),207,0.963415,0.920106,0.871429,0.721137,0.943038,0.875702,0.942857,0.880705,True,0.06132400000000001,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9500811490335502,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,22634,22634,12353834,1008,False,2,2,9,0.000106,0.929577,0.32574,87,ReLU(),108,0.926531,0.843015,0.929577,0.845145,0.927215,0.843274,0.942857,0.880705,True,0.002030666666666662,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9183776657158034,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,30393,30393,12361593,1909,False,3,3,10,9.3e-05,0.928571,0.444151,83,LeakyReLU(negative_slope=0.01),209,0.95935,0.91198,0.928571,0.840651,0.952532,0.896613,0.942857,0.880705,True,0.020519333333333334,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.938469672500704,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,39190,39190,12370390,1806,False,2,2,7,0.000113,0.828571,0.519407,94,LeakyReLU(negative_slope=0.01),206,0.951219,0.897104,0.828571,0.613114,0.924051,0.836292,0.942857,0.877622,True,0.0817653333333334,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.946005316567027,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,41064,41064,12372264,2005,False,4,4,6,0.000131,0.9,0.453935,98,LeakyReLU(negative_slope=0.01),205,0.926829,0.843304,0.9,0.782531,0.920886,0.829904,0.885714,0.765375,True,0.017885999999999996,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9182847552810413,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,46087,46087,12377287,1703,False,1,1,4,0.000133,0.928571,0.465405,97,LeakyReLU(negative_slope=0.01),203,0.910569,0.807211,0.928571,0.845016,0.914557,0.81537,0.914286,0.822753,True,0.012001333333333383,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9199566550813032,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,52282,52282,12383482,3608,False,4,4,9,0.000133,0.9,0.295548,98,GELU(approximate=False),408,0.918699,0.826249,0.9,0.782531,0.917722,0.823228,0.914286,0.822753,True,0.012466000000000014,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9180743068727978,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,59216,59216,12390416,1305,False,5,5,6,0.000106,0.873239,0.48532,78,ReLU(),105,0.918367,0.824833,0.873239,0.724483,0.908228,0.801928,0.914286,0.822753,True,0.03008533333333337,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9259119408180279,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,64783,64783,12395983,1407,False,6,6,8,7.9e-05,0.9,0.520115,69,ReLU(),107,0.939024,0.867099,0.9,0.79402,0.93038,0.84997,0.971429,0.939651,True,0.026015999999999966,ionosphere,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9344668933238062,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,69508,69508,12400708,2008,False,4,4,9,0.000107,0.885714,0.346646,88,LeakyReLU(negative_slope=0.01),208,0.910569,0.809231,0.885714,0.759841,0.911392,0.811353,0.942857,0.880705,True,0.017118666666666654,ionosphere,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9200377160344473,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,76444,76444,12407644,805,False,0,0,6,0.000138,0.873239,0.431735,89,ReLU(),105,0.906122,0.800389,0.873239,0.731623,0.901899,0.791554,0.914286,0.822753,True,0.021921999999999997,ionosphere,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9063051856318212,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,78812,78812,12410012,1810,False,2,2,11,0.000107,0.914286,0.308558,88,LeakyReLU(negative_slope=0.01),210,0.910569,0.809231,0.914286,0.81325,0.911392,0.809891,0.971429,0.939651,True,0.0024780000000000544,ionosphere,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9218550164089949,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,85811,85811,12417011,1609,False,0,0,10,9.3e-05,0.901408,0.33375,82,LeakyReLU(negative_slope=0.01),209,0.914286,0.819475,0.901408,0.79051,0.917722,0.826134,0.914286,0.822753,True,0.010876000000000033,ionosphere,1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9056076671466143,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,94695,94695,12425895,1902,False,3,3,3,0.000116,0.971429,0.595178,80,LeakyReLU(negative_slope=0.01),202,0.902439,0.791929,0.971429,0.937778,0.920886,0.82996,0.971429,0.941469,True,0.04599333333333333,ionosphere,16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9517209614298475,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,95957,95957,12427157,1403,False,6,6,4,0.000137,0.928571,0.538087,81,ReLU(),103,0.939024,0.867099,0.928571,0.851631,0.936709,0.863386,0.885714,0.765375,True,0.006968666666666623,ionosphere,6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9289954172608871,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,105127,105127,12436327,2610,False,2,2,11,5.1e-05,0.772727,0.529976,96,SELU(),310,0.72119,0.352188,0.772727,0.494931,0.742775,0.426246,0.789474,0.524442,True,0.034358000000000034,diabetes,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8726931370301411,Individual,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
