,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,2562,2562,12333762,3907,False,7,7,8,5.6e-05,0.857143,0.596689,14,GELU(approximate=False),407,0.833333,0.628079,0.857143,0.708113,0.838608,0.644799,0.914286,0.820768,True,0.015873333333333333,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8567402505115974,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,10819,10819,12342019,2804,False,4,4,5,5.4e-05,0.9,0.511442,13,SELU(),304,0.821138,0.610641,0.9,0.789352,0.835443,0.644483,0.971429,0.939651,True,0.05257466666666666,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8710922973993757,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,16439,16439,12347639,4211,False,2,2,12,4.2e-05,0.842857,0.669192,5,Sigmoid(),511,0.776423,0.512473,0.842857,0.649651,0.81962,0.602152,0.857143,0.691861,True,0.044289333333333326,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8345234507150705,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,20475,20475,12351675,2219,False,6,6,20,3.8e-05,0.885714,0.652897,2,LeakyReLU(negative_slope=0.01),219,0.829268,0.624691,0.885714,0.765375,0.882911,0.744311,0.885714,0.765375,True,0.037630666666666666,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.870745351474154,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,24868,24868,12356068,4401,False,4,4,2,0.000109,0.873239,0.656177,17,Sigmoid(),501,0.84898,0.666694,0.873239,0.724483,0.85443,0.681039,0.914286,0.822753,True,0.016172666666666686,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.857595836773769,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,30491,30491,12361691,5405,False,6,6,6,5.9e-05,0.885714,0.604845,17,Tanh(),605,0.853659,0.680027,0.885714,0.748109,0.870253,0.713946,0.914286,0.815076,True,0.02137000000000004,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8708022366301351,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,36989,36989,12368189,1907,False,3,3,8,5.3e-05,0.885714,0.63172,19,LeakyReLU(negative_slope=0.01),207,0.926829,0.840526,0.885714,0.746377,0.917722,0.8195,0.857143,0.691861,True,0.027410000000000007,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8680226125055557,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,40840,40840,12372040,1609,False,0,0,10,4.2e-05,0.830986,0.643927,10,LeakyReLU(negative_slope=0.01),209,0.836735,0.642173,0.830986,0.622888,0.85443,0.677218,0.885714,0.75333,True,0.015629333333333346,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8721666083179427,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,49794,49794,12380994,1205,False,4,4,6,5.3e-05,0.914286,0.601015,10,ReLU(),105,0.841463,0.657974,0.914286,0.81325,0.851266,0.678804,0.971429,0.939651,True,0.04854866666666672,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8884987387646537,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,51312,51312,12382512,2310,False,7,7,11,4.4e-05,0.885714,0.63489,16,LeakyReLU(negative_slope=0.01),210,0.886179,0.748895,0.885714,0.75333,0.89557,0.770011,0.885714,0.765375,True,0.006570666666666651,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8716410736709367,Individual,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
