,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,4158,4158,12335358,905,False,1,1,6,0.000134,0.871429,0.447377,95,ReLU(),105,0.922764,0.833285,0.871429,0.730297,0.911392,0.809891,0.942857,0.880705,True,0.03422333333333335,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9334409365117265,Individual,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,9810,9810,12341010,806,False,0,0,7,0.000114,0.943662,0.342118,98,ReLU(),106,0.897959,0.78193,0.943662,0.881521,0.908228,0.80475,0.971429,0.939651,True,0.0304686666666667,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9372304822670631,Individual,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,16009,16009,12347209,2012,False,4,4,13,0.0001,0.885714,0.332108,99,LeakyReLU(negative_slope=0.01),212,0.943089,0.877567,0.885714,0.74819,0.93038,0.849071,0.942857,0.880705,True,0.03824999999999997,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9267593778202196,Individual,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,22209,22209,12353409,2007,False,4,4,8,0.000103,0.871429,0.497984,88,LeakyReLU(negative_slope=0.01),207,0.963415,0.920106,0.871429,0.721137,0.943038,0.875702,0.942857,0.880705,True,0.06132400000000001,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9302567326449002,Individual,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,24094,24094,12355294,1409,False,6,6,10,0.000105,0.929577,0.330168,98,ReLU(),109,0.914286,0.816242,0.929577,0.852598,0.917722,0.82457,0.942857,0.880705,True,0.010193999999999962,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9227154833566481,Individual,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,29883,29883,12361083,3406,False,2,2,7,0.00014,0.914286,0.335745,98,GELU(approximate=False),406,0.890244,0.76417,0.914286,0.814532,0.89557,0.77508,0.971429,0.939651,True,0.016028000000000004,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9324042255354421,Individual,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,39190,39190,12370390,1806,False,2,2,7,0.000113,0.828571,0.519407,94,LeakyReLU(negative_slope=0.01),206,0.951219,0.897104,0.828571,0.613114,0.924051,0.836292,0.942857,0.877622,True,0.0817653333333334,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9468437875834643,Individual,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,41064,41064,12372264,2005,False,4,4,6,0.000131,0.9,0.453935,98,LeakyReLU(negative_slope=0.01),205,0.926829,0.843304,0.9,0.782531,0.920886,0.829904,0.885714,0.765375,True,0.017885999999999996,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9295380215771831,Individual,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,46087,46087,12377287,1703,False,1,1,4,0.000133,0.928571,0.465405,97,LeakyReLU(negative_slope=0.01),203,0.910569,0.807211,0.928571,0.845016,0.914557,0.81537,0.914286,0.822753,True,0.012001333333333383,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9302088926255008,Individual,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,52282,52282,12383482,3608,False,4,4,9,0.000133,0.9,0.295548,98,GELU(approximate=False),408,0.918699,0.826249,0.9,0.782531,0.917722,0.823228,0.914286,0.822753,True,0.012466000000000014,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9293490374197234,Individual,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
