,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1173,1173,12332373,1498,False,6,6,99,5.8e-05,0.985714,0.112019,96,ReLU(),198,0.97561,0.9467,0.985714,0.969624,0.977848,0.951883,0.942857,0.877622,True,0.0067360000000000015,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9889495275741208,Individual,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,6848,6848,12338048,1694,False,0,0,95,6.1e-05,0.985915,0.151819,98,LeakyReLU(negative_slope=0.01),294,0.97551,0.946586,0.985915,0.969864,0.977848,0.951883,0.971429,0.939651,True,0.006936666666666665,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9999071747426089,Individual,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,12692,12692,12343892,1789,False,1,1,90,6e-05,0.957143,0.167057,88,LeakyReLU(negative_slope=0.01),289,0.97561,0.947264,0.957143,0.906327,0.974684,0.945068,0.942857,0.880705,True,0.01231133333333334,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9962077859918528,Individual,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,16985,16985,12348185,1473,False,6,6,74,6.2e-05,0.971429,0.179025,94,ReLU(),173,0.971545,0.937607,0.971429,0.939651,0.974684,0.944826,0.857143,0.708113,True,0.0021700000000000053,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9925258428522595,Individual,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,24331,24331,12355531,2298,False,6,6,99,5.8e-05,0.957747,0.177004,94,LeakyReLU(negative_slope=0.01),298,0.97551,0.946586,0.957747,0.908654,0.971519,0.937963,0.942857,0.880705,True,0.011841999999999983,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9849366916359586,Individual,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,29422,29422,12360622,1293,False,4,4,94,6.2e-05,0.957143,0.176494,97,ReLU(),193,0.97561,0.946987,0.957143,0.908295,0.971519,0.938268,0.885714,0.75333,True,0.01231133333333334,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9864000052176463,Individual,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,36111,36111,12367311,2186,False,5,5,87,5.9e-05,0.942857,0.189103,84,LeakyReLU(negative_slope=0.01),286,0.971545,0.938832,0.942857,0.875061,0.968354,0.931484,0.857143,0.691861,True,0.019125333333333366,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9822985549123633,Individual,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,40482,40482,12371682,1295,False,4,4,96,6e-05,0.957143,0.127675,91,ReLU(),195,0.97561,0.946987,0.957143,0.908295,0.974684,0.945068,0.914286,0.822753,True,0.01231133333333334,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9864000052176463,Individual,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,47307,47307,12378507,981,False,1,1,82,6.1e-05,1.0,0.126211,97,ReLU(),181,0.96748,0.929474,1.0,1.0,0.974684,0.944826,0.914286,0.822753,True,0.021679999999999994,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9887339038748475,Individual,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,52485,52485,12383685,1398,False,5,5,99,6.1e-05,1.0,0.086306,97,ReLU(),198,0.979675,0.955537,1.0,1.0,0.984177,0.965566,0.914286,0.822753,True,0.013550000000000026,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9962725438758646,Individual,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,56015,56015,12387215,1861,False,2,2,62,6.6e-05,0.971831,0.197961,93,LeakyReLU(negative_slope=0.01),261,0.971429,0.938095,0.971831,0.938971,0.971519,0.938268,0.828571,0.650444,True,0.00026800000000000895,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.988410534135341,Individual,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
