,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,4120,4120,12335320,2204,False,6,6,5,9.5e-05,0.957143,0.529738,66,LeakyReLU(negative_slope=0.01),204,0.906504,0.794875,0.957143,0.907921,0.924051,0.834134,0.914286,0.815076,True,0.03375933333333333,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9175584382855337,Individual,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
0,9127,9127,12340327,1410,False,6,6,11,0.00011,0.914286,0.312077,96,ReLU(),110,0.947154,0.886728,0.914286,0.822753,0.943038,0.878769,0.914286,0.822753,True,0.021912000000000004,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9161686057595619,Individual,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
0,14401,14401,12345601,1007,False,2,2,8,9.9e-05,0.942857,0.395635,92,ReLU(),107,0.906504,0.795919,0.942857,0.872438,0.917722,0.820441,0.885714,0.75333,True,0.024235333333333314,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9168955610609756,Individual,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
0,22209,22209,12353409,2007,False,4,4,8,0.000103,0.871429,0.497984,88,LeakyReLU(negative_slope=0.01),207,0.963415,0.920106,0.871429,0.721137,0.943038,0.875702,0.942857,0.880705,True,0.06132400000000001,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9082822132744531,Individual,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
0,22634,22634,12353834,1008,False,2,2,9,0.000106,0.929577,0.32574,87,ReLU(),108,0.926531,0.843015,0.929577,0.845145,0.927215,0.843274,0.942857,0.880705,True,0.002030666666666662,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9215384782274645,Individual,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
0,30393,30393,12361593,1909,False,3,3,10,9.3e-05,0.928571,0.444151,83,LeakyReLU(negative_slope=0.01),209,0.95935,0.91198,0.928571,0.840651,0.952532,0.896613,0.942857,0.880705,True,0.020519333333333334,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9392404442839731,Individual,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
0,36099,36099,12367299,2105,False,5,5,6,0.000128,0.942857,0.368985,88,LeakyReLU(negative_slope=0.01),205,0.914634,0.819781,0.942857,0.87831,0.920886,0.832689,0.885714,0.765375,True,0.018815333333333333,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9275313434709749,Individual,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
0,40042,40042,12371242,1812,False,2,2,13,0.000111,0.942857,0.24281,96,LeakyReLU(negative_slope=0.01),212,0.930894,0.852731,0.942857,0.875595,0.936709,0.864369,0.885714,0.75333,True,0.007975333333333298,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9187479018043134,Individual,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
0,46667,46667,12377867,1004,False,2,2,5,0.000128,0.914286,0.502286,94,ReLU(),104,0.939024,0.868638,0.914286,0.808974,0.933544,0.855833,0.885714,0.765375,True,0.01649199999999995,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.917915409012051,Individual,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
0,54657,54657,12385857,1406,False,6,6,7,0.000125,0.957143,0.240722,99,ReLU(),106,0.914634,0.818606,0.957143,0.910028,0.924051,0.839249,0.8,0.59172,True,0.028339333333333345,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9144825475735567,Individual,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
0,56784,56784,12387984,1512,False,7,7,13,5e-05,0.943662,0.594007,24,ReLU(),112,0.926531,0.838892,0.943662,0.878632,0.936709,0.861486,0.885714,0.75333,True,0.011420666666666671,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9156007163056415,Individual,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
0,64783,64783,12395983,1407,False,6,6,8,7.9e-05,0.9,0.520115,69,ReLU(),107,0.939024,0.867099,0.9,0.79402,0.93038,0.84997,0.971429,0.939651,True,0.026015999999999966,ionosphere,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9087178642769668,Individual,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
0,69763,69763,12400963,1803,False,2,2,4,0.0001,0.942857,0.542098,72,LeakyReLU(negative_slope=0.01),203,0.914634,0.817185,0.942857,0.875595,0.920886,0.829904,0.8,0.59172,True,0.018815333333333333,ionosphere,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9250385105649246,Individual,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
