,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,413,413,12331613,1408,False,6,6,9,0.00012,0.914286,0.34835,97,ReLU(),108,0.918699,0.823563,0.914286,0.822753,0.917722,0.823228,0.942857,0.877622,True,0.002942,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9099586263044268,Individual,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,9127,9127,12340327,1410,False,6,6,11,0.00011,0.914286,0.312077,96,ReLU(),110,0.947154,0.886728,0.914286,0.822753,0.943038,0.878769,0.914286,0.822753,True,0.021912000000000004,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9239836366783184,Individual,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,12339,12339,12343539,902,False,1,1,3,0.000162,0.9,0.459712,96,ReLU(),102,0.914634,0.818872,0.9,0.784079,0.911392,0.811353,0.885714,0.765375,True,0.00975599999999995,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9213092492572056,Individual,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,17302,17302,12348502,2309,False,7,7,10,0.000106,0.914286,0.323682,93,LeakyReLU(negative_slope=0.01),209,0.906504,0.797548,0.914286,0.822753,0.908228,0.80323,0.828571,0.650444,True,0.005188000000000044,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9044439585411989,Individual,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,24094,24094,12355294,1409,False,6,6,10,0.000105,0.929577,0.330168,98,ReLU(),109,0.914286,0.816242,0.929577,0.852598,0.917722,0.82457,0.942857,0.880705,True,0.010193999999999962,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9195744391843172,Individual,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,28112,28112,12359312,1410,False,6,6,11,0.000107,0.928571,0.31153,96,ReLU(),110,0.926829,0.841915,0.928571,0.848528,0.927215,0.843274,0.914286,0.822753,True,0.0011613333333333475,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9252074476920897,Individual,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,35957,35957,12367157,2205,False,6,6,6,0.000141,0.9,0.338792,96,LeakyReLU(negative_slope=0.01),205,0.926829,0.843304,0.9,0.789352,0.920886,0.831187,0.857143,0.691861,True,0.017885999999999996,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9270679540982848,Individual,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,40042,40042,12371242,1812,False,2,2,13,0.000111,0.942857,0.24281,96,LeakyReLU(negative_slope=0.01),212,0.930894,0.852731,0.942857,0.875595,0.936709,0.864369,0.885714,0.75333,True,0.007975333333333298,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.926232411321366,Individual,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,46667,46667,12377867,1004,False,2,2,5,0.000128,0.914286,0.502286,94,ReLU(),104,0.939024,0.868638,0.914286,0.808974,0.933544,0.855833,0.885714,0.765375,True,0.01649199999999995,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.92320602927536,Individual,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,54657,54657,12385857,1406,False,6,6,7,0.000125,0.957143,0.240722,99,ReLU(),106,0.914634,0.818606,0.957143,0.910028,0.924051,0.839249,0.8,0.59172,True,0.028339333333333345,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9241276669787905,Individual,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
