,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1173,1173,12332373,1498,False,6,6,99,5.8e-05,0.985714,0.112019,96,ReLU(),198,0.97561,0.9467,0.985714,0.969624,0.977848,0.951883,0.942857,0.877622,True,0.0067360000000000015,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9745548465733748,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,6848,6848,12338048,1694,False,0,0,95,6.1e-05,0.985915,0.151819,98,LeakyReLU(negative_slope=0.01),294,0.97551,0.946586,0.985915,0.969864,0.977848,0.951883,0.971429,0.939651,True,0.006936666666666665,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9999196110462804,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,12328,12328,12343528,993,False,1,1,94,5.8e-05,0.957143,0.164054,92,ReLU(),193,0.971545,0.938554,0.957143,0.906327,0.968354,0.931484,0.971429,0.939651,True,0.00960133333333335,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9916789368868357,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,17323,17323,12348523,2388,False,7,7,89,5.7e-05,0.971429,0.16094,87,LeakyReLU(negative_slope=0.01),288,0.963415,0.919853,0.971429,0.939651,0.96519,0.924284,0.914286,0.822753,True,0.005342666666666644,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9709865055036231,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,22610,22610,12353810,1098,False,2,2,99,5.4e-05,0.957747,0.169766,74,ReLU(),198,0.955102,0.90324,0.957747,0.906978,0.955696,0.903874,1.0,1.0,True,0.001763333333333339,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9716550966721211,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,29095,29095,12360295,1386,False,5,5,87,6.1e-05,0.957143,0.188481,86,ReLU(),186,0.971545,0.938228,0.957143,0.908295,0.968354,0.931484,0.942857,0.880705,True,0.00960133333333335,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9728413440311158,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,37313,37313,12368513,881,False,0,0,82,6.1e-05,0.929577,0.219024,93,ReLU(),181,0.97551,0.946872,0.929577,0.845145,0.96519,0.924284,0.914286,0.815076,True,0.030622,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9655389583655757,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,40215,40215,12371415,1289,False,4,4,90,5.8e-05,0.957143,0.139906,84,ReLU(),189,0.971545,0.938228,0.957143,0.908295,0.968354,0.931484,0.942857,0.880705,True,0.00960133333333335,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9859594875996825,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,46122,46122,12377322,1790,False,1,1,91,6.1e-05,0.985714,0.133235,97,LeakyReLU(negative_slope=0.01),290,0.96748,0.929474,0.985714,0.968475,0.971519,0.937963,0.971429,0.939651,True,0.012155999999999981,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9851878532971184,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,52914,52914,12384114,1477,False,6,6,78,6.2e-05,1.0,0.105444,94,ReLU(),177,0.97561,0.9467,1.0,1.0,0.981013,0.958716,0.942857,0.880705,True,0.016260000000000014,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9930752443470008,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,56016,56016,12387216,1064,False,2,2,65,6.7e-05,0.971831,0.2088,92,ReLU(),164,0.971429,0.938095,0.971831,0.938971,0.971519,0.938268,0.914286,0.822753,True,0.00026800000000000895,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9732748411795835,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,64031,64031,12395231,2054,False,4,4,55,7.1e-05,0.985714,0.167565,96,LeakyReLU(negative_slope=0.01),254,0.95935,0.911219,0.985714,0.969087,0.96519,0.924042,1.0,1.0,True,0.017575999999999963,ionosphere,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9809411728764638,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,67522,67522,12398722,1491,False,6,6,92,6e-05,0.971429,0.14348,98,ReLU(),191,0.96748,0.929495,0.971429,0.937778,0.968354,0.931116,0.971429,0.941469,True,0.0026326666666666534,ionosphere,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9861412748735078,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,74875,74875,12406075,2189,False,5,5,90,5.5e-05,0.971429,0.171256,70,LeakyReLU(negative_slope=0.01),289,0.955285,0.90274,0.971429,0.938537,0.958861,0.910664,0.942857,0.880705,True,0.010762666666666624,ionosphere,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9620960261338263,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,79139,79139,12410339,1377,False,5,5,78,6.1e-05,0.957143,0.183565,90,ReLU(),177,0.963415,0.919853,0.957143,0.907921,0.962025,0.917164,0.971429,0.939651,True,0.00418133333333337,ionosphere,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9818749275670703,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,86027,86027,12417227,1084,False,2,2,85,5.9e-05,0.957143,0.166119,92,ReLU(),184,0.97561,0.947764,0.957143,0.906327,0.971519,0.938766,0.942857,0.877622,True,0.01231133333333334,ionosphere,1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9739696402438771,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,91078,91078,12422278,1771,False,1,1,72,6.6e-05,0.957143,0.165035,96,LeakyReLU(negative_slope=0.01),271,0.971545,0.93794,0.957143,0.908295,0.968354,0.931116,0.971429,0.939651,True,0.00960133333333335,ionosphere,16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.986489675809269,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,97233,97233,12428433,2392,False,7,7,93,5.9e-05,0.957143,0.150917,88,LeakyReLU(negative_slope=0.01),292,0.979675,0.955925,0.957143,0.910028,0.974684,0.945502,0.914286,0.815076,True,0.015021333333333331,ionosphere,6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9707449142689064,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,104788,104788,12435988,3178,False,7,7,79,3.6e-05,0.823529,0.47442,84,SELU(),378,0.779221,0.500508,0.823529,0.601076,0.789017,0.519472,0.828947,0.608487,True,0.029538666666666602,diabetes,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9456239675040756,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,107829,107829,12439029,3160,False,7,7,61,3.7e-05,0.784314,0.581163,97,SELU(),360,0.788497,0.52501,0.784314,0.558499,0.799133,0.574836,0.802632,0.575452,True,0.009879333333333351,diabetes,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9368935246034374,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,112567,112567,12443767,2872,False,4,4,73,4e-05,0.785714,0.5131,98,SELU(),372,0.79368,0.532858,0.785714,0.523846,0.786127,0.52171,0.842105,0.642066,True,0.005310666666666686,diabetes,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9386344299752932,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,119663,119663,12450863,2692,False,2,2,93,3.8e-05,0.785714,0.508596,97,SELU(),392,0.802974,0.554048,0.785714,0.523846,0.809249,0.586705,0.802632,0.557696,True,0.015689999999999982,diabetes,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9496051445733947,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,125902,125902,12457102,2991,False,5,5,92,3.6e-05,0.792208,0.478021,79,SELU(),391,0.814126,0.578329,0.792208,0.540007,0.787572,0.526776,0.763158,0.457055,True,0.017702666666666644,diabetes,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9457222423809117,Individual,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
