,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,4120,4120,12335320,2204,False,6,6,5,9.5e-05,0.957143,0.529738,66,LeakyReLU(negative_slope=0.01),204,0.906504,0.794875,0.957143,0.907921,0.924051,0.834134,0.914286,0.815076,True,0.03375933333333333,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9148958308892117,Individual,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,9810,9810,12341010,806,False,0,0,7,0.000114,0.943662,0.342118,98,ReLU(),106,0.897959,0.78193,0.943662,0.881521,0.908228,0.80475,0.971429,0.939651,True,0.0304686666666667,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9158308553579956,Individual,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,16009,16009,12347209,2012,False,4,4,13,0.0001,0.885714,0.332108,99,LeakyReLU(negative_slope=0.01),212,0.943089,0.877567,0.885714,0.74819,0.93038,0.849071,0.942857,0.880705,True,0.03824999999999997,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9120277237475535,Individual,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,22209,22209,12353409,2007,False,4,4,8,0.000103,0.871429,0.497984,88,LeakyReLU(negative_slope=0.01),207,0.963415,0.920106,0.871429,0.721137,0.943038,0.875702,0.942857,0.880705,True,0.06132400000000001,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9184379675297402,Individual,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,22634,22634,12353834,1008,False,2,2,9,0.000106,0.929577,0.32574,87,ReLU(),108,0.926531,0.843015,0.929577,0.845145,0.927215,0.843274,0.942857,0.880705,True,0.002030666666666662,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9189116094924449,Individual,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,30393,30393,12361593,1909,False,3,3,10,9.3e-05,0.928571,0.444151,83,LeakyReLU(negative_slope=0.01),209,0.95935,0.91198,0.928571,0.840651,0.952532,0.896613,0.942857,0.880705,True,0.020519333333333334,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9416234508008917,Individual,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,36099,36099,12367299,2105,False,5,5,6,0.000128,0.942857,0.368985,88,LeakyReLU(negative_slope=0.01),205,0.914634,0.819781,0.942857,0.87831,0.920886,0.832689,0.885714,0.765375,True,0.018815333333333333,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9213930737365604,Individual,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,40042,40042,12371242,1812,False,2,2,13,0.000111,0.942857,0.24281,96,LeakyReLU(negative_slope=0.01),212,0.930894,0.852731,0.942857,0.875595,0.936709,0.864369,0.885714,0.75333,True,0.007975333333333298,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9147333039021296,Individual,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,46259,46259,12377459,3812,False,6,6,13,0.000116,0.942857,0.284486,97,GELU(approximate=False),412,0.922764,0.833285,0.942857,0.87831,0.927215,0.843274,0.942857,0.880705,True,0.013395333333333278,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9122090565895484,Individual,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,53528,53528,12384728,2116,False,5,5,17,8.6e-05,0.957143,0.24508,94,LeakyReLU(negative_slope=0.01),216,0.926829,0.842327,0.957143,0.910028,0.936709,0.864369,0.885714,0.765375,True,0.0202093333333333,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8962314306307722,Individual,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,56784,56784,12387984,1512,False,7,7,13,5e-05,0.943662,0.594007,24,ReLU(),112,0.926531,0.838892,0.943662,0.878632,0.936709,0.861486,0.885714,0.75333,True,0.011420666666666671,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9123084364436136,Individual,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
