,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,666,666,12331866,2025,False,4,4,26,3.9e-05,0.914286,0.613883,12,LeakyReLU(negative_slope=0.01),225,0.910569,0.803914,0.914286,0.818895,0.908228,0.799945,0.914286,0.820768,True,0.004038666666666672,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8556692240879071,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,10831,10831,12342031,918,False,1,1,19,4e-05,0.928571,0.567493,14,ReLU(),118,0.849594,0.671231,0.928571,0.844072,0.867089,0.709944,0.942857,0.880705,True,0.05265133333333338,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.850926124708233,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,11658,11658,12342858,807,False,0,0,8,4.1e-05,0.873239,0.662351,9,ReLU(),107,0.877551,0.731025,0.873239,0.71761,0.879747,0.734589,0.8,0.565926,True,0.004338666666666639,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8373117676859815,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,18404,18404,12349604,1320,False,5,5,21,3.8e-05,0.885714,0.622281,13,ReLU(),120,0.910569,0.80296,0.885714,0.752788,0.905063,0.791811,0.885714,0.765375,True,0.016569999999999974,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.863768930095768,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,24868,24868,12356068,4401,False,4,4,2,0.000109,0.873239,0.656177,17,Sigmoid(),501,0.84898,0.666694,0.873239,0.724483,0.85443,0.681039,0.914286,0.822753,True,0.016172666666666686,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8415008621527249,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,30491,30491,12361691,5405,False,6,6,6,5.9e-05,0.885714,0.604845,17,Tanh(),605,0.853659,0.680027,0.885714,0.748109,0.870253,0.713946,0.914286,0.815076,True,0.02137000000000004,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8554984856739591,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,36989,36989,12368189,1907,False,3,3,8,5.3e-05,0.885714,0.63172,19,LeakyReLU(negative_slope=0.01),207,0.926829,0.840526,0.885714,0.746377,0.917722,0.8195,0.857143,0.691861,True,0.027410000000000007,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.876107366379987,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,39842,39842,12371042,1911,False,3,3,12,4.4e-05,0.885714,0.622658,11,LeakyReLU(negative_slope=0.01),211,0.878049,0.73397,0.885714,0.753592,0.876582,0.730575,0.857143,0.691861,True,0.00608800000000002,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8601655291308483,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,50189,50189,12381389,917,False,1,1,18,4.4e-05,0.957143,0.619357,9,ReLU(),117,0.861789,0.696083,0.957143,0.906276,0.889241,0.755814,0.942857,0.877622,True,0.0635693333333333,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8729645018533218,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,51312,51312,12382512,2310,False,7,7,11,4.4e-05,0.885714,0.63489,16,LeakyReLU(negative_slope=0.01),210,0.886179,0.748895,0.885714,0.75333,0.89557,0.770011,0.885714,0.765375,True,0.006570666666666651,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.85791114130305,Individual,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
