,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,group,policy,mcdm_tuples
5000,5000,12336200,1385,False,5,5,86,6.2e-05,0.914286,0.169268,96,ReLU(),185,0.987805,0.973467,0.914286,0.817018,0.971519,0.938268,0.971429,0.939651,False,0.04901266666666667,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,Individual,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
7843,7843,12339043,1481,False,6,6,82,6.2e-05,0.957143,0.211471,95,ReLU(),181,0.97561,0.9467,0.957143,0.910028,0.971519,0.938268,0.942857,0.880705,False,0.01231133333333334,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,Individual,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
15596,15596,12346796,2066,False,4,4,67,6.8e-05,0.928571,0.228828,98,LeakyReLU(negative_slope=0.01),266,0.979675,0.956164,0.928571,0.844072,0.968354,0.931484,0.914286,0.822753,True,0.034069333333333285,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,Individual,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
21015,21015,12352215,1080,False,2,2,81,6e-05,0.914286,0.235183,91,ReLU(),180,0.979675,0.956164,0.914286,0.81325,0.96519,0.924715,0.857143,0.708113,False,0.04359266666666661,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,Individual,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
27065,27065,12358265,1284,False,4,4,85,6.1e-05,0.915493,0.205523,99,ReLU(),184,0.983673,0.964607,0.915493,0.817949,0.971519,0.937845,0.942857,0.880705,True,0.045453333333333346,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,Individual,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
32851,32851,12364051,971,False,1,1,72,6.7e-05,0.914286,0.214503,96,ReLU(),171,0.979675,0.956394,0.914286,0.808974,0.96519,0.924715,0.914286,0.815076,False,0.04359266666666661,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,Individual,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
39176,39176,12370376,1888,False,2,2,89,6e-05,0.871429,0.342859,84,LeakyReLU(negative_slope=0.01),288,0.98374,0.965053,0.871429,0.709659,0.958861,0.910664,0.857143,0.691861,False,0.07487399999999995,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,Individual,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
43953,43953,12375153,1359,False,5,5,60,6.8e-05,0.9,0.273757,99,ReLU(),159,0.979675,0.956164,0.9,0.789352,0.96519,0.925341,0.914286,0.822753,True,0.053116666666666625,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,Individual,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
48744,48744,12379944,1399,False,5,5,100,5.8e-05,0.928571,0.199391,97,ReLU(),199,0.979675,0.955773,0.928571,0.844072,0.968354,0.931116,0.971429,0.939651,False,0.034069333333333285,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,Individual,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
55484,55484,12386684,2397,False,7,7,98,6e-05,0.928571,0.190394,96,LeakyReLU(negative_slope=0.01),297,0.98374,0.964401,0.928571,0.851631,0.971519,0.938268,0.942857,0.880705,False,0.036779333333333275,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,Individual,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
59924,59924,12391124,1289,False,4,4,90,6.1e-05,0.929577,0.236463,97,ReLU(),189,0.983673,0.964607,0.929577,0.847445,0.971519,0.937963,0.885714,0.765375,False,0.03606400000000002,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,Individual,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
66095,66095,12397295,2277,False,6,6,78,6.5e-05,0.914286,0.221803,96,LeakyReLU(negative_slope=0.01),277,0.979675,0.955537,0.914286,0.817018,0.96519,0.924284,1.0,1.0,False,0.04359266666666661,ionosphere,7,exp0090_politica_1_oracle_1m1l_nosbss,,,Individual,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
70169,70169,12401369,1573,False,7,7,74,6.5e-05,0.942857,0.201869,99,ReLU(),173,0.97561,0.946987,0.942857,0.87831,0.968354,0.931484,0.942857,0.877622,False,0.021835333333333356,ionosphere,12,exp0090_politica_1_oracle_1m1l_nosbss,,,Individual,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
78295,78295,12409495,1090,False,2,2,91,5.8e-05,0.9,0.254237,84,ReLU(),190,0.98374,0.964768,0.9,0.784079,0.96519,0.924715,0.942857,0.880705,False,0.055826666666666615,ionosphere,3,exp0090_politica_1_oracle_1m1l_nosbss,,,Individual,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
83826,83826,12415026,2390,False,7,7,91,5.9e-05,0.914286,0.218228,89,LeakyReLU(negative_slope=0.01),290,0.979675,0.955537,0.914286,0.817018,0.96519,0.924284,0.942857,0.880705,False,0.04359266666666661,ionosphere,15,exp0090_politica_1_oracle_1m1l_nosbss,,,Individual,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
