,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
4,4503,4503,12335703,1198,False,3,3,99,5.9e-05,0.914286,0.246029,93,ReLU(),198,0.97561,0.946987,0.914286,0.81325,0.962025,0.917467,0.971429,0.939651,False,0.04088266666666662,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9820575870967994,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,6848,6848,12338048,1694,False,0,0,95,6.1e-05,0.985915,0.151819,98,LeakyReLU(negative_slope=0.01),294,0.97551,0.946586,0.985915,0.969864,0.977848,0.951883,0.971429,0.939651,True,0.006936666666666665,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,1.0,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
5,11642,11642,12342842,1784,False,1,1,85,6e-05,0.957143,0.182942,92,LeakyReLU(negative_slope=0.01),284,0.963415,0.921215,0.957143,0.906327,0.962025,0.91796,0.971429,0.939651,False,0.00418133333333337,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9855565022318001,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
8,21680,21680,12352880,1692,False,0,0,93,5.2e-05,0.887324,0.317943,63,LeakyReLU(negative_slope=0.01),292,0.963265,0.919502,0.887324,0.766687,0.946203,0.882976,0.914286,0.822753,False,0.05062733333333336,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9518869609592367,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
3,22610,22610,12353810,1098,False,2,2,99,5.4e-05,0.957747,0.169766,74,ReLU(),198,0.955102,0.90324,0.957747,0.906978,0.955696,0.903874,1.0,1.0,False,0.001763333333333339,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9818736300931263,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
5,32382,32382,12363582,2179,False,5,5,80,6.4e-05,0.914286,0.224803,97,LeakyReLU(negative_slope=0.01),279,0.971545,0.938228,0.914286,0.818895,0.958861,0.91122,0.942857,0.880705,False,0.03817266666666663,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9634045047947994,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
5,36832,36832,12368032,896,False,0,0,97,5.6e-05,0.929577,0.217624,88,ReLU(),196,0.967347,0.929345,0.929577,0.845145,0.958861,0.910664,0.914286,0.815076,False,0.02517999999999998,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9631386798670735,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
23,39616,39616,12370816,1097,False,2,2,98,5.3e-05,0.957143,0.151193,69,ReLU(),197,0.951219,0.894581,0.957143,0.904398,0.952532,0.896613,0.942857,0.880705,False,0.0039493333333332865,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9748080046937987,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
1,48744,48744,12379944,1399,False,5,5,100,5.8e-05,0.928571,0.199391,97,ReLU(),199,0.979675,0.955773,0.928571,0.844072,0.968354,0.931116,0.971429,0.939651,False,0.034069333333333285,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9927620844475054,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
28,54543,54543,12385743,1391,False,5,5,92,5.6e-05,1.0,0.107246,85,ReLU(),191,0.95935,0.9116,1.0,1.0,0.968354,0.931484,0.942857,0.880705,False,0.027099999999999975,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9822378481139615,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
17,56571,56571,12387771,2291,False,6,6,92,5.6e-05,0.957747,0.216952,82,LeakyReLU(negative_slope=0.01),291,0.971429,0.937758,0.957747,0.910674,0.968354,0.931484,0.914286,0.822753,False,0.009121333333333315,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9641299549617134,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
7,65896,65896,12397096,1484,False,6,6,85,6.4e-05,0.914286,0.226942,96,ReLU(),184,0.97561,0.9467,0.914286,0.817018,0.962025,0.917467,1.0,1.0,False,0.04088266666666662,ionosphere,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9820575870967994,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
6,70338,70338,12401538,2379,False,7,7,80,5.8e-05,0.928571,0.227393,80,LeakyReLU(negative_slope=0.01),279,0.963415,0.920786,0.928571,0.848528,0.955696,0.904492,0.971429,0.939651,False,0.023229333333333324,ionosphere,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9783824887695676,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
30,75531,75531,12406731,2190,False,5,5,91,5e-05,0.957143,0.206903,51,LeakyReLU(negative_slope=0.01),290,0.934959,0.858345,0.957143,0.908295,0.939873,0.869384,0.942857,0.880705,False,0.014789333333333321,ionosphere,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9451785596280253,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,83184,83184,12414384,896,False,0,0,97,5.7e-05,0.929577,0.185518,88,ReLU(),196,0.97551,0.946586,0.929577,0.848203,0.96519,0.924284,0.971429,0.939651,False,0.030622,ionosphere,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9963408144186339,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
1,88578,88578,12419778,2190,False,5,5,91,5.8e-05,0.928571,0.220316,83,LeakyReLU(negative_slope=0.01),290,0.97561,0.947485,0.928571,0.848528,0.96519,0.925341,0.971429,0.941469,False,0.031359333333333295,ionosphere,1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9856309929871913,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
7,92600,92600,12423800,1083,False,2,2,84,6.1e-05,0.942857,0.173648,93,ReLU(),183,0.971545,0.938228,0.942857,0.875556,0.96519,0.924042,0.971429,0.939651,False,0.019125333333333366,ionosphere,16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9927259977165573,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
6,98422,98422,12429622,1481,False,6,6,82,6e-05,0.942857,0.189067,86,ReLU(),181,0.979675,0.955925,0.942857,0.880705,0.971519,0.938766,0.914286,0.815076,False,0.024545333333333346,ionosphere,6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9641382622516702,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
32,101610,101610,12432810,2594,False,1,1,95,3.5e-05,0.772727,0.497897,79,SELU(),394,0.773234,0.486078,0.772727,0.488179,0.783237,0.514501,0.815789,0.579365,False,0.0070066666666666055,diabetes,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9254585442044241,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
6,109446,109446,12440646,2896,False,4,4,97,3.5e-05,0.75817,0.534199,75,SELU(),396,0.786642,0.516976,0.75817,0.455076,0.786127,0.52471,0.802632,0.557696,False,0.018981333333333295,diabetes,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9392604780997206,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,112567,112567,12443767,2872,False,4,4,73,4e-05,0.785714,0.5131,98,SELU(),372,0.79368,0.532858,0.785714,0.523846,0.786127,0.52171,0.842105,0.642066,True,0.005310666666666686,diabetes,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9526651065048288,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
2,120503,120503,12451703,2478,False,0,0,79,3.7e-05,0.766234,0.523506,74,SELU(),378,0.758364,0.461145,0.766234,0.496047,0.790462,0.542494,0.828947,0.643071,False,0.02139866666666664,diabetes,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9656482512663348,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
36,127960,127960,12459160,2898,False,4,4,99,3.8e-05,0.74026,0.621101,94,SELU(),398,0.797398,0.539951,0.74026,0.439877,0.794798,0.551503,0.75,0.439632,False,0.038092000000000015,diabetes,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9171674217102026,Local,THT,"[('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
