,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
2,413,413,12331613,1408,False,6,6,9,0.00012,0.914286,0.34835,97,ReLU(),108,0.918699,0.823563,0.914286,0.822753,0.917722,0.823228,0.942857,0.877622,True,0.002942,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9223544532302922,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
124,9249,9249,12340449,919,False,1,1,20,8.1e-05,0.9,0.280225,95,ReLU(),119,0.934959,0.859212,0.9,0.782531,0.927215,0.842317,0.971429,0.939651,True,0.023305999999999976,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8833925296430866,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
2,16009,16009,12347209,2012,False,4,4,13,0.0001,0.885714,0.332108,99,LeakyReLU(negative_slope=0.01),212,0.943089,0.877567,0.885714,0.74819,0.93038,0.849071,0.942857,0.880705,True,0.03824999999999997,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9146678912286544,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
0,22209,22209,12353409,2007,False,4,4,8,0.000103,0.871429,0.497984,88,LeakyReLU(negative_slope=0.01),207,0.963415,0.920106,0.871429,0.721137,0.943038,0.875702,0.942857,0.880705,True,0.06132400000000001,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9500811490335502,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
137,25080,25080,12356280,1022,False,2,2,23,8.5e-05,0.957747,0.206718,96,ReLU(),122,0.930612,0.851572,0.957747,0.906978,0.936709,0.863386,0.971429,0.939651,False,0.018090000000000012,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8690108668669251,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
16,31344,31344,12362544,1311,False,5,5,12,9.2e-05,0.871429,0.39509,76,ReLU(),111,0.914634,0.81472,0.871429,0.730297,0.905063,0.795213,0.942857,0.880705,False,0.028803333333333292,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.906795638466456,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
16,38476,38476,12369676,1112,False,3,3,13,9.4e-05,0.871429,0.323227,89,ReLU(),112,0.943089,0.879604,0.871429,0.722999,0.927215,0.845816,0.885714,0.75333,False,0.0477733333333333,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9015671439486376,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
18,42796,42796,12373996,912,False,1,1,13,8.2e-05,0.871429,0.385536,66,ReLU(),112,0.926829,0.842852,0.871429,0.713893,0.914557,0.81537,0.914286,0.822753,True,0.03693333333333334,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9061769127247199,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
5,45362,45362,12376562,1912,False,3,3,13,9.4e-05,0.914286,0.318238,84,LeakyReLU(negative_slope=0.01),212,0.922764,0.832279,0.914286,0.814532,0.920886,0.82796,0.942857,0.880705,False,0.00565199999999999,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.91002622897864,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
16,52240,52240,12383440,1520,False,7,7,21,8.9e-05,0.928571,0.27363,87,ReLU(),120,0.947154,0.885501,0.928571,0.851631,0.943038,0.877701,0.914286,0.822753,True,0.012388666666666678,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8768038927386099,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
45,56478,56478,12387678,1618,False,0,0,19,8.3e-05,0.915493,0.302827,85,LeakyReLU(negative_slope=0.01),218,0.922449,0.834471,0.915493,0.814478,0.927215,0.843274,0.885714,0.765375,False,0.007814666666666673,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.873412484409891,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
84,65305,65305,12396505,1119,False,3,3,20,8.8e-05,0.885714,0.385193,89,ReLU(),119,0.934959,0.858345,0.885714,0.759841,0.924051,0.835571,1.0,1.0,True,0.03282999999999999,ionosphere,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8821869466013874,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
32,69405,69405,12400605,2216,False,6,6,17,8.1e-05,0.942857,0.271079,88,LeakyReLU(negative_slope=0.01),216,0.918699,0.826249,0.942857,0.87831,0.924051,0.837809,0.971429,0.939651,True,0.016105333333333267,ionosphere,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8979851390067133,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
6,77359,77359,12408559,2316,False,7,7,17,8.1e-05,0.885714,0.314594,81,LeakyReLU(negative_slope=0.01),216,0.934959,0.860407,0.885714,0.759841,0.924051,0.837809,0.942857,0.880705,True,0.03282999999999999,ionosphere,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8918885399397428,Local,THTN,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
