,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
67,1788,1788,12332988,2729,False,3,3,30,4.3e-05,0.857143,0.488917,34,SELU(),329,0.841463,0.664339,0.857143,0.700649,0.844937,0.672427,0.885714,0.765375,False,0.010453333333333351,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.744078528461206,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
36,11009,11009,12342209,2330,False,7,7,31,4.4e-05,0.942857,0.415799,28,LeakyReLU(negative_slope=0.01),230,0.853659,0.691364,0.942857,0.880705,0.873418,0.734627,0.914286,0.822753,True,0.059465333333333335,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7759722937331963,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
13,15281,15281,12346481,2131,False,5,5,32,3.6e-05,0.871429,0.638698,6,LeakyReLU(negative_slope=0.01),231,0.825203,0.611329,0.871429,0.730297,0.844937,0.665117,0.857143,0.691861,True,0.030817333333333325,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7917327494416967,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
4,22392,22392,12353592,1815,False,2,2,16,4.2e-05,0.9,0.631481,16,LeakyReLU(negative_slope=0.01),215,0.768293,0.502504,0.9,0.784514,0.857595,0.6844,0.885714,0.765375,True,0.08780466666666668,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8464510302798364,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
49,27292,27292,12358492,2027,False,4,4,28,4.6e-05,0.887324,0.474359,20,LeakyReLU(negative_slope=0.01),227,0.812245,0.604151,0.887324,0.766687,0.829114,0.642197,0.857143,0.708113,False,0.05005266666666667,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7655530042973349,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
4,31091,31091,12362291,1509,False,7,7,10,5.1e-05,0.842857,0.597528,17,ReLU(),109,0.882114,0.744128,0.842857,0.651404,0.879747,0.735242,0.857143,0.700067,True,0.026171333333333324,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8456097212126356,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
33,36032,36032,12367232,1838,False,2,2,39,3.6e-05,0.857143,0.640525,3,LeakyReLU(negative_slope=0.01),238,0.849594,0.676893,0.857143,0.681919,0.876582,0.728166,0.828571,0.630081,True,0.017992000000000008,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7810237166214368,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
92,43545,43545,12374745,1337,False,5,5,38,3.6e-05,0.9,0.623758,7,ReLU(),137,0.829268,0.625073,0.9,0.780654,0.873418,0.720376,0.771429,0.51049,True,0.04715466666666668,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7535018007563945,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
16,45758,45758,12376958,1911,False,3,3,12,5.3e-05,0.871429,0.507942,29,LeakyReLU(negative_slope=0.01),211,0.857724,0.697858,0.871429,0.722999,0.860759,0.703297,0.942857,0.880705,True,0.009136666666666645,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8218352425004931,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
4,54763,54763,12385963,2018,False,4,4,19,3.8e-05,0.885714,0.606183,11,LeakyReLU(negative_slope=0.01),218,0.841463,0.651592,0.885714,0.751851,0.860759,0.701149,0.857143,0.708113,False,0.029500666666666692,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8373245402210963,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
1,56784,56784,12387984,1512,False,7,7,13,5e-05,0.943662,0.594007,24,ReLU(),112,0.926531,0.838892,0.943662,0.878632,0.936709,0.861486,0.885714,0.75333,True,0.011420666666666671,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.855067565914828,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
47,67048,67048,12398248,1020,False,2,2,21,4e-05,0.9,0.624834,7,ReLU(),120,0.800813,0.563431,0.9,0.782531,0.829114,0.620031,0.828571,0.625956,False,0.06612466666666668,ionosphere,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7929799524480914,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
4,72060,72060,12403260,2325,False,7,7,26,4e-05,0.9,0.536558,14,LeakyReLU(negative_slope=0.01),225,0.833333,0.628894,0.9,0.789352,0.863924,0.70188,0.942857,0.877622,True,0.04444466666666669,ionosphere,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8314168547222319,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
1,78382,78382,12409582,1712,False,1,1,13,4.2e-05,0.957143,0.589684,10,LeakyReLU(negative_slope=0.01),212,0.841463,0.652029,0.957143,0.906327,0.886076,0.748866,0.857143,0.691861,True,0.07712000000000001,ionosphere,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8565510463416258,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
6,83996,83996,12415196,2327,False,7,7,28,3.8e-05,0.928571,0.655645,1,LeakyReLU(negative_slope=0.01),227,0.800813,0.588966,0.928571,0.846217,0.889241,0.756474,0.885714,0.75333,True,0.08517200000000003,ionosphere,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.838297937313447,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
59,89049,89049,12420249,927,False,1,1,28,5.7e-05,0.871429,0.386976,46,ReLU(),127,0.926829,0.84599,0.871429,0.722999,0.914557,0.819585,0.885714,0.75333,True,0.03693333333333334,ionosphere,1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7303906171623163,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
0,92372,92372,12423572,808,False,0,0,9,4.3e-05,0.887324,0.633319,5,ReLU(),108,0.861224,0.692448,0.887324,0.75886,0.879747,0.73517,0.971429,0.939651,True,0.01740000000000001,ionosphere,16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9131016908363585,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
7,99403,99403,12430603,812,False,0,0,13,4.1e-05,0.929577,0.607669,9,ReLU(),112,0.877551,0.729237,0.929577,0.848203,0.882911,0.746717,0.8,0.560968,True,0.03468400000000001,ionosphere,6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8371768435870395,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
391,101629,101629,12432829,2439,False,0,0,40,3.8e-05,0.733766,0.567849,41,SELU(),339,0.724907,0.372465,0.733766,0.403722,0.735549,0.400253,0.763158,0.457055,True,0.0070946666666666935,diabetes,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6991198102664489,Local,THTNB,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
