,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
1,413,413,12331613,1408,False,6,6,9,0.00012,0.914286,0.34835,97,ReLU(),108,0.918699,0.823563,0.914286,0.822753,0.917722,0.823228,0.942857,0.877622,True,0.002942,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9322966105394394,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
4,5814,5814,12337014,1708,False,1,1,9,0.000103,0.9,0.370092,95,LeakyReLU(negative_slope=0.01),208,0.902439,0.792237,0.9,0.782531,0.901899,0.789915,0.971429,0.939651,False,0.0016259999999999792,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.925133004841079,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,16009,16009,12347209,2012,False,4,4,13,0.0001,0.885714,0.332108,99,LeakyReLU(negative_slope=0.01),212,0.943089,0.877567,0.885714,0.74819,0.93038,0.849071,0.942857,0.880705,True,0.03824999999999997,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9267593778202196,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
27,21076,21076,12352276,1812,False,2,2,13,0.000106,0.857143,0.347443,90,LeakyReLU(negative_slope=0.01),212,0.922764,0.833285,0.857143,0.690313,0.908228,0.801928,0.857143,0.708113,False,0.04374733333333336,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8808368169738625,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,24094,24094,12355294,1409,False,6,6,10,0.000105,0.929577,0.330168,98,ReLU(),109,0.914286,0.816242,0.929577,0.852598,0.917722,0.82457,0.942857,0.880705,True,0.010193999999999962,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9227154833566481,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
16,29271,29271,12360471,2115,False,5,5,16,0.000102,0.914286,0.330979,96,LeakyReLU(negative_slope=0.01),215,0.930894,0.850557,0.914286,0.818895,0.927215,0.843274,0.942857,0.880705,True,0.01107199999999997,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9127170096940641,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
9,39122,39122,12370322,1012,False,2,2,13,0.000101,0.842857,0.416781,96,ReLU(),112,0.943089,0.879604,0.842857,0.649651,0.920886,0.831187,0.885714,0.75333,True,0.06682133333333333,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9116878278890482,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
2,44510,44510,12375710,809,False,0,0,10,0.000122,0.830986,0.367258,98,ReLU(),109,0.930612,0.851572,0.830986,0.642195,0.908228,0.80475,0.914286,0.822753,True,0.06641733333333333,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9258773857730109,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
11,46436,46436,12377636,2309,False,7,7,10,0.000107,0.928571,0.299943,95,LeakyReLU(negative_slope=0.01),209,0.906504,0.798858,0.928571,0.848528,0.911392,0.809891,0.914286,0.822753,False,0.014711333333333373,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9144753509210639,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
28,53802,53802,12385002,1220,False,4,4,21,8.3e-05,0.914286,0.248153,94,ReLU(),120,0.947154,0.886171,0.914286,0.81325,0.939873,0.870107,0.885714,0.765375,True,0.021912000000000004,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8812134158205477,Local,THTNE,"[('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
