,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1173,1173,12332373,1498,False,6,6,99,5.8e-05,0.985714,0.112019,96,ReLU(),198,0.97561,0.9467,0.985714,0.969624,0.977848,0.951883,0.942857,0.877622,True,0.0067360000000000015,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9889495275741208,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,6848,6848,12338048,1694,False,0,0,95,6.1e-05,0.985915,0.151819,98,LeakyReLU(negative_slope=0.01),294,0.97551,0.946586,0.985915,0.969864,0.977848,0.951883,0.971429,0.939651,True,0.006936666666666665,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9999071747426089,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
16,15598,15598,12346798,1296,False,4,4,97,5.9e-05,0.928571,0.237299,95,ReLU(),196,0.979675,0.956164,0.928571,0.844072,0.968354,0.931484,0.942857,0.880705,False,0.034069333333333285,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.972739979581118,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
50,17019,17019,12348219,1492,False,6,6,93,5.5e-05,0.957143,0.173138,80,ReLU(),192,0.955285,0.901816,0.957143,0.910028,0.958861,0.910664,0.857143,0.708113,False,0.0023839999999999417,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.969934681125472,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
79,24123,24123,12355323,1190,False,3,3,91,5.2e-05,0.943662,0.227408,67,ReLU(),190,0.959184,0.911316,0.943662,0.875959,0.955696,0.90345,0.971429,0.939651,False,0.010348000000000024,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9624042895180756,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,29422,29422,12360622,1293,False,4,4,94,6.2e-05,0.957143,0.176494,97,ReLU(),193,0.97561,0.946987,0.957143,0.908295,0.971519,0.938268,0.885714,0.75333,True,0.01231133333333334,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9864000052176463,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
137,36291,36291,12367491,2167,False,5,5,68,5.2e-05,0.928571,0.243613,60,LeakyReLU(negative_slope=0.01),267,0.95935,0.913019,0.928571,0.844072,0.952532,0.897777,0.857143,0.691861,False,0.020519333333333334,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9614989162027141,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
16,41408,41408,12372608,1099,False,2,2,100,5.9e-05,0.942857,0.134173,92,ReLU(),199,0.97561,0.947264,0.942857,0.875595,0.968354,0.931484,0.914286,0.822753,False,0.021835333333333356,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9730104488872158,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
32,45320,45320,12376520,2389,False,7,7,90,5.4e-05,0.971429,0.178663,68,LeakyReLU(negative_slope=0.01),289,0.963415,0.920292,0.971429,0.938537,0.96519,0.924284,0.942857,0.880705,False,0.005342666666666644,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9694638182299049,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
4,53353,53353,12384553,2292,False,6,6,93,5.6e-05,1.0,0.115711,88,LeakyReLU(negative_slope=0.01),292,0.971545,0.937889,1.0,1.0,0.977848,0.951883,0.942857,0.880705,False,0.018970000000000004,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9874082141760315,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
9,56573,56573,12387773,1193,False,3,3,94,5.7e-05,0.957747,0.198796,87,ReLU(),193,0.971429,0.938095,0.957747,0.908913,0.968354,0.931484,0.857143,0.708113,False,0.009121333333333315,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9817465760139921,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
26,64172,64172,12395372,1398,False,5,5,99,5.8e-05,0.942857,0.192569,95,ReLU(),198,0.971545,0.937889,0.942857,0.880705,0.96519,0.924715,0.971429,0.941469,False,0.019125333333333366,ionosphere,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.958571815775152,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
24,67205,67205,12398405,1999,False,3,3,100,5.5e-05,0.971429,0.143616,77,LeakyReLU(negative_slope=0.01),299,0.971545,0.938554,0.971429,0.937268,0.971519,0.938268,0.914286,0.815076,False,7.733333333333665e-05,ionosphere,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9863295457034165,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
50,76406,76406,12407606,2386,False,7,7,87,6e-05,0.942857,0.179914,86,LeakyReLU(negative_slope=0.01),286,0.97561,0.946987,0.942857,0.87831,0.971519,0.938268,0.885714,0.765375,False,0.021835333333333356,ionosphere,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9607410344837927,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,80115,80115,12411315,893,False,0,0,94,5.8e-05,0.957747,0.156131,95,ReLU(),193,0.971429,0.937472,0.957747,0.910674,0.968354,0.931116,0.942857,0.880705,True,0.009121333333333315,ionosphere,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9851073572578718,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
25,86604,86604,12417804,1091,False,2,2,92,5.8e-05,0.942857,0.178144,94,ReLU(),191,0.96748,0.930584,0.942857,0.875595,0.96519,0.925341,0.914286,0.820768,False,0.016415333333333375,ionosphere,1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9737339423521376,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
0,89600,89600,12420800,2096,False,4,4,97,6.1e-05,0.971429,0.169436,99,LeakyReLU(negative_slope=0.01),296,0.971545,0.93794,0.971429,0.938537,0.971519,0.937963,0.942857,0.880705,True,7.733333333333665e-05,ionosphere,16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9925527160728137,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
5,97234,97234,12428434,1098,False,2,2,99,6e-05,0.957143,0.142984,97,ReLU(),198,0.979675,0.955773,0.957143,0.908295,0.974684,0.945068,0.885714,0.75333,False,0.015021333333333331,ionosphere,6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9821633856733013,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
5,103748,103748,12434948,2599,False,1,1,100,3.8e-05,0.805195,0.50531,63,SELU(),399,0.775093,0.48925,0.805195,0.572222,0.791907,0.538345,0.815789,0.576804,False,0.020067999999999975,diabetes,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.942040834884799,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
5,108923,108923,12440123,2890,False,4,4,91,3.5e-05,0.797386,0.555575,98,SELU(),390,0.782931,0.507791,0.797386,0.568755,0.806358,0.583366,0.697368,0.347074,True,0.015617999999999984,diabetes,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9490298715528539,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
7,113399,113399,12444599,3083,False,6,6,84,3.6e-05,0.785714,0.512507,96,SELU(),383,0.797398,0.546245,0.785714,0.520588,0.800578,0.548548,0.815789,0.576829,False,0.009909333333333326,diabetes,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9409933305334439,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
6,117850,117850,12449050,2672,False,2,2,73,3.5e-05,0.785714,0.51951,95,SELU(),372,0.786245,0.513406,0.785714,0.545637,0.790462,0.574378,0.776316,0.557901,False,0.0031653333333333165,diabetes,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9442697345760126,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
1,123745,123745,12454945,3091,False,6,6,92,3.6e-05,0.805195,0.527868,86,SELU(),391,0.797398,0.541433,0.805195,0.589919,0.797688,0.57349,0.684211,0.311692,True,0.005197999999999962,diabetes,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9624952223985789,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
1,132587,132587,12463787,2484,False,0,0,85,3.4e-05,0.824675,0.438332,94,SELU(),384,0.786245,0.515074,0.824675,0.605065,0.797688,0.538878,0.684211,0.239898,False,0.02562000000000005,diabetes,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9605813803232784,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
24,135726,135726,12466926,2470,False,0,0,71,3.7e-05,0.779221,0.570498,71,SELU(),370,0.79368,0.529253,0.779221,0.515185,0.790462,0.538864,0.657895,0.254196,False,0.009639333333333333,diabetes,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9392404190315103,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
1,141003,141003,12472203,2497,False,0,0,98,3.7e-05,0.785714,0.491813,94,SELU(),397,0.799257,0.543108,0.785714,0.510843,0.793353,0.529072,0.736842,0.37596,True,0.009028666666666648,diabetes,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9455260506970062,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
18,146295,146295,12477495,3179,False,7,7,80,3.7e-05,0.777778,0.506221,68,SELU(),379,0.786642,0.516976,0.777778,0.494756,0.787572,0.521993,0.763158,0.457055,False,0.006529333333333387,diabetes,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9401016409071067,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
21,154977,154977,12486177,2679,False,2,2,80,3.6e-05,0.810458,0.486468,73,SELU(),379,0.769944,0.472941,0.810458,0.583323,0.793353,0.544376,0.75,0.449884,False,0.027009333333333368,diabetes,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9296183209797344,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
35,158325,158325,12489525,2496,False,0,0,97,3.8e-05,0.798701,0.474907,88,SELU(),396,0.780669,0.497914,0.798701,0.549805,0.794798,0.551503,0.776316,0.498664,False,0.012021333333333365,diabetes,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9241892411427555,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
10,166540,166540,12497740,3082,False,6,6,83,3.4e-05,0.818182,0.458104,87,SELU(),382,0.773234,0.487704,0.818182,0.590791,0.780347,0.501754,0.828947,0.608487,False,0.029965333333333326,diabetes,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9465533030077332,Local,TTVH,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1)]"
