,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
22,2280,2280,12333480,1018,False,2,2,19,9.1e-05,0.914286,0.240317,96,ReLU(),118,0.934959,0.859212,0.914286,0.818895,0.93038,0.84997,0.942857,0.877622,True,0.013781999999999961,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8797904793857659,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
36,5972,5972,12337172,1119,False,3,3,20,8.6e-05,0.942857,0.286554,82,ReLU(),119,0.939024,0.868979,0.942857,0.87831,0.939873,0.87103,0.914286,0.822753,True,0.002555333333333317,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8914687232370484,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
55,13864,13864,12345064,1818,False,2,2,19,9.5e-05,0.9,0.296514,92,LeakyReLU(negative_slope=0.01),218,0.930894,0.850458,0.9,0.784079,0.924051,0.835571,0.857143,0.708113,False,0.020595999999999986,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8841235340050583,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
7,17472,17472,12348672,2316,False,7,7,17,8.9e-05,0.928571,0.288206,99,LeakyReLU(negative_slope=0.01),216,0.918699,0.822331,0.928571,0.851631,0.924051,0.835571,0.857143,0.708113,False,0.006581333333333328,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8920786697820637,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
72,25080,25080,12356280,1022,False,2,2,23,8.5e-05,0.957747,0.206718,96,ReLU(),122,0.930612,0.851572,0.957747,0.906978,0.936709,0.863386,0.971429,0.939651,True,0.018090000000000012,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8807828813417385,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
64,31653,31653,12362853,1719,False,1,1,20,9e-05,0.9,0.280647,95,LeakyReLU(negative_slope=0.01),219,0.947154,0.886818,0.9,0.777337,0.936709,0.863386,0.885714,0.75333,False,0.03143600000000002,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8838745206015584,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
81,37522,37522,12368722,1320,False,5,5,21,8.2e-05,0.9,0.284625,96,ReLU(),120,0.951219,0.895921,0.9,0.782531,0.939873,0.87103,0.857143,0.691861,False,0.03414600000000001,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8853167396025015,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
46,41551,41551,12372751,1012,False,2,2,13,8.6e-05,0.928571,0.279112,80,ReLU(),112,0.894309,0.774573,0.928571,0.840651,0.901899,0.7885,0.942857,0.880705,False,0.022841333333333342,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.886261803972178,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
47,48144,48144,12379344,1519,False,7,7,20,7.6e-05,0.957143,0.277251,79,ReLU(),119,0.914634,0.816056,0.957143,0.908295,0.924051,0.836586,0.942857,0.880705,False,0.028339333333333345,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8801921330895479,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
4,54155,54155,12385355,1315,False,5,5,16,9.1e-05,0.971429,0.224838,92,ReLU(),115,0.934959,0.859555,0.971429,0.939651,0.943038,0.877701,0.828571,0.650444,True,0.024313333333333336,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9070336799858927,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
47,56542,56542,12387742,1022,False,2,2,23,7.9e-05,0.929577,0.268801,87,ReLU(),122,0.942857,0.877327,0.929577,0.849452,0.939873,0.87103,0.828571,0.650444,True,0.008853333333333305,ionosphere,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8789359617601434,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
57,64728,64728,12395928,821,False,0,0,22,7.9e-05,0.901408,0.295096,94,ReLU(),121,0.938776,0.86684,0.901408,0.795234,0.93038,0.84997,0.971429,0.939651,True,0.024912000000000045,ionosphere,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8668163267264094,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
31,69403,69403,12400603,1116,False,3,3,17,9.1e-05,0.942857,0.253156,95,ReLU(),116,0.918699,0.82732,0.942857,0.875595,0.924051,0.837809,0.885714,0.75333,False,0.016105333333333267,ionosphere,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8937734260430449,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
175,76660,76660,12407860,2324,False,7,7,25,7.7e-05,0.914286,0.247715,89,LeakyReLU(negative_slope=0.01),224,0.951219,0.894794,0.914286,0.818895,0.943038,0.877701,0.914286,0.822753,False,0.024621999999999995,ionosphere,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8648895089703292,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
44,80007,80007,12411207,1317,False,5,5,18,8.8e-05,0.914286,0.277133,87,ReLU(),117,0.926829,0.842327,0.914286,0.817018,0.924051,0.836586,0.885714,0.765375,False,0.00836199999999998,ionosphere,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8884795488197119,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
64,87551,87551,12418751,817,False,0,0,18,7.9e-05,0.943662,0.29577,87,ReLU(),117,0.910204,0.808898,0.943662,0.87909,0.924051,0.837809,0.8,0.567295,False,0.022305333333333326,ionosphere,1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8869032581421702,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
47,90404,90404,12421604,2122,False,5,5,23,8.9e-05,0.942857,0.232944,94,LeakyReLU(negative_slope=0.01),222,0.934959,0.858368,0.942857,0.880705,0.939873,0.870107,0.971429,0.939651,False,0.005265333333333307,ionosphere,16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8813534627989412,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
4,99806,99806,12431006,1812,False,2,2,13,5e-05,0.971429,0.577398,23,LeakyReLU(negative_slope=0.01),212,0.910569,0.804931,0.971429,0.938537,0.93038,0.84997,0.885714,0.75333,True,0.04057333333333335,ionosphere,6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9056242047920149,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
53,104707,104707,12435907,2627,False,2,2,28,3.3e-05,0.792208,0.522915,88,SELU(),327,0.749071,0.419308,0.792208,0.533798,0.761561,0.475259,0.776316,0.484757,True,0.02875799999999999,diabetes,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8392607137294875,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
15,106534,106534,12437734,2424,False,0,0,25,3.6e-05,0.771242,0.523524,94,SELU(),324,0.768089,0.471339,0.771242,0.478211,0.771676,0.475286,0.763158,0.443991,True,0.0023913333333333378,diabetes,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8559346169244753,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
17,113214,113214,12444414,2425,False,0,0,26,3.8e-05,0.772727,0.551361,96,SELU(),325,0.763941,0.45915,0.772727,0.503093,0.777457,0.503001,0.789474,0.511593,True,0.009010666666666648,diabetes,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8457055799058735,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
32,118333,118333,12449533,3027,False,6,6,28,3.5e-05,0.779221,0.489144,92,SELU(),327,0.776952,0.490277,0.779221,0.494788,0.768786,0.467345,0.710526,0.315883,True,0.006956666666666722,diabetes,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8504267061172074,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
9,127229,127229,12458429,2423,False,0,0,24,3.6e-05,0.753247,0.536615,97,SELU(),323,0.795539,0.533622,0.753247,0.478926,0.789017,0.536125,0.723684,0.404169,True,0.028194666666666663,diabetes,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8655428237025559,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
10,131651,131651,12462851,2523,False,1,1,24,3.7e-05,0.798701,0.48443,88,SELU(),323,0.771375,0.474093,0.798701,0.543177,0.777457,0.489081,0.723684,0.33925,True,0.018217333333333308,diabetes,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.866695778473888,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
27,135272,135272,12466472,2428,False,0,0,29,3.5e-05,0.779221,0.555829,83,SELU(),328,0.789963,0.522117,0.779221,0.507638,0.787572,0.527538,0.657895,0.198898,True,0.007161333333333279,diabetes,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.853708700207353,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
0,140873,140873,12472073,2421,False,0,0,22,4.1e-05,0.785714,0.517085,93,SELU(),321,0.773234,0.478288,0.785714,0.517731,0.774566,0.502493,0.763158,0.457055,True,0.00832000000000003,diabetes,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8722945190912061,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
23,147743,147743,12478943,3025,False,6,6,26,3.5e-05,0.792208,0.518821,92,SELU(),325,0.769517,0.471606,0.792208,0.529308,0.774566,0.488954,0.723684,0.37018,True,0.015127333333333345,diabetes,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8626669970994271,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
52,155262,155262,12486462,2630,False,2,2,31,3.7e-05,0.803922,0.525603,99,SELU(),330,0.758813,0.44565,0.803922,0.571021,0.774566,0.514644,0.723684,0.417328,True,0.03007266666666671,diabetes,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8336600346845718,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
23,158036,158036,12489236,2428,False,0,0,29,3.8e-05,0.792208,0.4887,94,SELU(),328,0.776952,0.491925,0.792208,0.52657,0.780347,0.499035,0.710526,0.315883,True,0.010170666666666698,diabetes,10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8429634488378555,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
8,164395,164395,12495595,2723,False,3,3,24,4.2e-05,0.785714,0.555755,86,SELU(),323,0.765799,0.466573,0.785714,0.520588,0.773121,0.48269,0.75,0.408933,True,0.013276666666666678,diabetes,7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8668742185879141,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
28,171369,171369,12502569,3026,False,6,6,27,3.6e-05,0.798701,0.534472,77,SELU(),326,0.763941,0.463426,0.798701,0.559894,0.774566,0.494979,0.75,0.422734,True,0.02317333333333334,diabetes,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8554427858384634,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
41,176816,176816,12508016,2527,False,1,1,28,3.8e-05,0.811688,0.471949,87,SELU(),327,0.769517,0.475961,0.811688,0.573391,0.777457,0.493545,0.736842,0.37596,True,0.028113999999999972,diabetes,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.849788540345454,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
54,180862,180862,12512062,2528,False,1,1,29,4.2e-05,0.785714,0.561654,96,SELU(),328,0.769517,0.475232,0.785714,0.511814,0.770231,0.472107,0.684211,0.250646,False,0.01079800000000001,diabetes,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8431937996772588,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
123,188112,188112,12519312,2831,False,4,4,32,3.8e-05,0.798701,0.487904,98,SELU(),331,0.765799,0.465148,0.798701,0.542303,0.776012,0.485472,0.631579,0.120173,False,0.021934666666666658,diabetes,1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8295249576213974,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
10,190463,190463,12521663,2820,False,4,4,21,3.5e-05,0.766234,0.522321,91,SELU(),320,0.765799,0.459989,0.766234,0.475039,0.767341,0.469132,0.736842,0.3959,False,0.0010280000000000289,diabetes,16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8581315942668651,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
31,200657,200657,12531857,2726,False,3,3,27,3.6e-05,0.798701,0.490538,81,SELU(),326,0.747212,0.425174,0.798701,0.559894,0.773121,0.502623,0.736842,0.3959,True,0.034326,diabetes,6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8537362888581368,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
12,206918,206918,12538118,2803,False,4,4,4,9.5e-05,0.92029,0.342421,72,SELU(),303,0.859213,0.715372,0.92029,0.839018,0.872786,0.742489,0.913043,0.831936,False,0.04071800000000003,Australian,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9543428033099637,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
56,210767,210767,12541967,908,False,1,1,9,8e-05,0.913043,0.316784,44,ReLU(),108,0.879917,0.757157,0.913043,0.824669,0.887279,0.772135,0.826087,0.651739,False,0.022084000000000065,Australian,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9413918619207458,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
15,217868,217868,12549068,3106,False,7,7,7,6.6e-05,0.934783,0.333599,32,SELU(),306,0.859213,0.714347,0.934783,0.867656,0.877617,0.751711,0.855072,0.706608,False,0.050380000000000015,Australian,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9448267136659418,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
4,223434,223434,12554634,3501,False,3,3,2,0.000178,0.942029,0.314377,70,GELU(approximate=False),401,0.857143,0.710173,0.942029,0.882852,0.876006,0.748676,0.884058,0.765705,True,0.05659066666666668,Australian,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9567832941565227,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
11,229105,229105,12560305,2104,False,5,5,5,0.000115,0.92029,0.295121,60,LeakyReLU(negative_slope=0.01),204,0.861284,0.720852,0.92029,0.838772,0.874396,0.746965,0.884058,0.765705,False,0.039337333333333335,Australian,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9561246681797363,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
30,233418,233418,12564618,5208,False,4,4,9,7.7e-05,0.913043,0.338991,69,Tanh(),608,0.881988,0.761998,0.913043,0.824278,0.888889,0.77577,0.84058,0.679088,False,0.02070333333333337,Australian,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9478839495571529,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
7,239806,239806,12571006,3305,False,1,1,6,0.000101,0.927536,0.282053,65,GELU(approximate=False),405,0.869565,0.737114,0.927536,0.853098,0.884058,0.765873,0.84058,0.677176,True,0.03864733333333333,Australian,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9340158582939803,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
6,244554,244554,12575754,5005,False,2,2,6,8.4e-05,0.898551,0.325443,49,Tanh(),605,0.873706,0.745914,0.898551,0.795376,0.879227,0.756889,0.898551,0.796283,False,0.016563333333333336,Australian,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.953843957958967,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
6,250516,250516,12581716,3804,False,6,6,5,0.000104,0.905797,0.312807,91,GELU(approximate=False),404,0.871636,0.742312,0.905797,0.810418,0.879227,0.75625,0.913043,0.824661,True,0.022774,Australian,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9567463042645952,Local,TTVHN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1)]"
