,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
80,3113,3113,12334313,820,False,0,0,21,5.4e-05,0.859155,0.425588,48,ReLU(),120,0.889796,0.767465,0.859155,0.709575,0.886076,0.760773,0.857143,0.691861,False,0.020427333333333353,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7415149190021045,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
20,11009,11009,12342209,2330,False,7,7,31,4.4e-05,0.942857,0.415799,28,LeakyReLU(negative_slope=0.01),230,0.853659,0.691364,0.942857,0.880705,0.873418,0.734627,0.914286,0.822753,True,0.059465333333333335,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7840109879661554,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
20,15281,15281,12346481,2131,False,5,5,32,3.6e-05,0.871429,0.638698,6,LeakyReLU(negative_slope=0.01),231,0.825203,0.611329,0.871429,0.730297,0.844937,0.665117,0.857143,0.691861,False,0.030817333333333325,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7914139286420716,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
25,22392,22392,12353592,1815,False,2,2,16,4.2e-05,0.9,0.631481,16,LeakyReLU(negative_slope=0.01),215,0.768293,0.502504,0.9,0.784514,0.857595,0.6844,0.885714,0.765375,True,0.08780466666666668,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7975319937086733,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
59,27292,27292,12358492,2027,False,4,4,28,4.6e-05,0.887324,0.474359,20,LeakyReLU(negative_slope=0.01),227,0.812245,0.604151,0.887324,0.766687,0.829114,0.642197,0.857143,0.708113,False,0.05005266666666667,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7727847566438192,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
66,31925,31925,12363125,2038,False,4,4,39,3.7e-05,0.871429,0.623302,6,LeakyReLU(negative_slope=0.01),238,0.821138,0.604403,0.871429,0.721137,0.829114,0.626615,0.8,0.59172,False,0.03352733333333332,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7646296406583379,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
13,36032,36032,12367232,1838,False,2,2,39,3.6e-05,0.857143,0.640525,3,LeakyReLU(negative_slope=0.01),238,0.849594,0.676893,0.857143,0.681919,0.876582,0.728166,0.828571,0.630081,True,0.017992000000000008,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7873911514002631,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
34,43545,43545,12374745,1337,False,5,5,38,3.6e-05,0.9,0.623758,7,ReLU(),137,0.829268,0.625073,0.9,0.780654,0.873418,0.720376,0.771429,0.51049,True,0.04715466666666668,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7869374217598446,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
77,45005,45005,12376205,1337,False,5,5,38,4.9e-05,0.914286,0.371529,37,ReLU(),137,0.910569,0.811377,0.914286,0.81325,0.911392,0.811353,0.942857,0.880705,True,0.0024780000000000544,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7581189013269979,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
6,55072,55072,12386272,1618,False,0,0,19,4.2e-05,0.901408,0.589422,13,LeakyReLU(negative_slope=0.01),218,0.853061,0.673711,0.901408,0.795234,0.867089,0.709944,0.857143,0.708113,False,0.032231333333333355,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8261080737271727,Local,TTVHNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
