,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,413,413,12331613,1408,False,6,6,9,0.00012,0.914286,0.34835,97,ReLU(),108,0.918699,0.823563,0.914286,0.822753,0.917722,0.823228,0.942857,0.877622,True,0.002942,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9099586263044268,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
34,10292,10292,12341492,819,False,0,0,20,8.6e-05,0.971831,0.247859,93,ReLU(),119,0.914286,0.814552,0.971831,0.940105,0.93038,0.84997,0.942857,0.880705,True,0.038363333333333305,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8955123032160981,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
3,16009,16009,12347209,2012,False,4,4,13,0.0001,0.885714,0.332108,99,LeakyReLU(negative_slope=0.01),212,0.943089,0.877567,0.885714,0.74819,0.93038,0.849071,0.942857,0.880705,True,0.03824999999999997,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9152443582187166,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
18,18656,18656,12349856,2221,False,6,6,22,8.4e-05,0.914286,0.272581,94,LeakyReLU(negative_slope=0.01),221,0.943089,0.875181,0.914286,0.822753,0.936709,0.862604,0.857143,0.708113,True,0.01920199999999994,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.889544895025032,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
136,24007,24007,12355207,1029,False,2,2,30,8.2e-05,0.957747,0.202425,97,ReLU(),129,0.942857,0.875635,0.957747,0.906978,0.946203,0.882561,0.942857,0.880705,True,0.009926666666666714,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.870797883069297,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
6,29271,29271,12360471,2115,False,5,5,16,0.000102,0.914286,0.330979,96,LeakyReLU(negative_slope=0.01),215,0.930894,0.850557,0.914286,0.818895,0.927215,0.843274,0.942857,0.880705,True,0.01107199999999997,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9075998649260503,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
102,37523,37523,12368723,2324,False,7,7,25,8.2e-05,0.9,0.270821,98,LeakyReLU(negative_slope=0.01),224,0.951219,0.894794,0.9,0.782531,0.939873,0.870107,0.857143,0.691861,False,0.03414600000000001,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8834059107874954,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
12,41842,41842,12373042,2215,False,6,6,16,8.9e-05,0.9,0.360113,94,LeakyReLU(negative_slope=0.01),215,0.939024,0.867883,0.9,0.789352,0.93038,0.84997,0.885714,0.75333,False,0.026015999999999966,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9029538228270039,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
56,47533,47533,12378733,1219,False,4,4,20,7.9e-05,0.9,0.32087,99,ReLU(),119,0.934959,0.859212,0.9,0.789352,0.927215,0.843274,0.914286,0.822753,False,0.023305999999999976,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8834683238839084,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
72,53802,53802,12385002,1220,False,4,4,21,8.3e-05,0.914286,0.248153,94,ReLU(),120,0.947154,0.886171,0.914286,0.81325,0.939873,0.870107,0.885714,0.765375,True,0.021912000000000004,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8840280579253916,Local,TTVHNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
