,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,1173,1173,12332373,1498,False,6,6,99,5.8e-05,0.985714,0.112019,96,ReLU(),198,0.97561,0.9467,0.985714,0.969624,0.977848,0.951883,0.942857,0.877622,True,0.0067360000000000015,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9745548465733748,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,6848,6848,12338048,1694,False,0,0,95,6.1e-05,0.985915,0.151819,98,LeakyReLU(negative_slope=0.01),294,0.97551,0.946586,0.985915,0.969864,0.977848,0.951883,0.971429,0.939651,True,0.006936666666666665,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9999196110462804,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
4,11642,11642,12342842,1784,False,1,1,85,6e-05,0.957143,0.182942,92,LeakyReLU(negative_slope=0.01),284,0.963415,0.921215,0.957143,0.906327,0.962025,0.91796,0.971429,0.939651,False,0.00418133333333337,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9834004550555746,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
11,16931,16931,12348131,1497,False,6,6,98,5.5e-05,0.957143,0.186308,86,ReLU(),197,0.95935,0.911011,0.957143,0.910028,0.958861,0.910664,0.885714,0.765375,False,0.00147133333333338,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9452312479191076,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
0,22610,22610,12353810,1098,False,2,2,99,5.4e-05,0.957747,0.169766,74,ReLU(),198,0.955102,0.90324,0.957747,0.906978,0.955696,0.903874,1.0,1.0,True,0.001763333333333339,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9716550966721211,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
8,30717,30717,12361917,1380,False,5,5,81,5.8e-05,0.928571,0.221225,77,ReLU(),180,0.963415,0.920292,0.928571,0.848528,0.955696,0.903874,0.942857,0.880705,False,0.023229333333333324,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9547126106066304,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
4,36832,36832,12368032,896,False,0,0,97,5.6e-05,0.929577,0.217624,88,ReLU(),196,0.967347,0.929345,0.929577,0.845145,0.958861,0.910664,0.914286,0.815076,False,0.02517999999999998,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9628984464229676,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
13,39616,39616,12370816,1097,False,2,2,98,5.3e-05,0.957143,0.151193,69,ReLU(),197,0.951219,0.894581,0.957143,0.904398,0.952532,0.896613,0.942857,0.880705,False,0.0039493333333332865,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9689448254472552,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
5,45947,45947,12377147,999,False,1,1,100,5.4e-05,0.971429,0.168645,76,ReLU(),199,0.955285,0.903269,0.971429,0.937268,0.958861,0.910664,0.971429,0.939651,False,0.010762666666666624,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9682003230437811,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
19,54543,54543,12385743,1391,False,5,5,92,5.6e-05,1.0,0.107246,85,ReLU(),191,0.95935,0.9116,1.0,1.0,0.968354,0.931484,0.942857,0.880705,False,0.027099999999999975,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9770208806353075,Local,TTVHT,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1)]"
