,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
12,2280,2280,12333480,1018,False,2,2,19,9.1e-05,0.914286,0.240317,96,ReLU(),118,0.934959,0.859212,0.914286,0.818895,0.93038,0.84997,0.942857,0.877622,True,0.013781999999999961,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8907192215578159,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
35,10292,10292,12341492,819,False,0,0,20,8.6e-05,0.971831,0.247859,93,ReLU(),119,0.914286,0.814552,0.971831,0.940105,0.93038,0.84997,0.942857,0.880705,True,0.038363333333333305,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8969557853349845,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
182,16205,16205,12347405,1128,False,3,3,29,8e-05,0.885714,0.296439,95,ReLU(),128,0.947154,0.885914,0.885714,0.74567,0.936709,0.862604,0.914286,0.822753,False,0.04096000000000003,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.856563389847716,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
3,17358,17358,12348558,2216,False,6,6,17,8.7e-05,0.914286,0.319809,80,LeakyReLU(negative_slope=0.01),216,0.922764,0.83111,0.914286,0.822753,0.920886,0.828831,0.885714,0.765375,True,0.00565199999999999,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8903146451080265,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
22,25080,25080,12356280,1022,False,2,2,23,8.5e-05,0.957747,0.206718,96,ReLU(),122,0.930612,0.851572,0.957747,0.906978,0.936709,0.863386,0.971429,0.939651,True,0.018090000000000012,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8914174829325022,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
48,32398,32398,12363598,1919,False,3,3,20,8.1e-05,0.885714,0.362723,84,LeakyReLU(negative_slope=0.01),219,0.943089,0.877267,0.885714,0.753592,0.93038,0.84997,0.942857,0.880705,False,0.03824999999999997,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8872139250931212,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
53,36810,36810,12368010,820,False,0,0,21,7.5e-05,0.901408,0.320905,73,ReLU(),120,0.938776,0.86762,0.901408,0.79051,0.93038,0.84997,0.885714,0.75333,False,0.024912000000000045,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8844421829401201,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
13,41551,41551,12372751,1012,False,2,2,13,8.6e-05,0.928571,0.279112,80,ReLU(),112,0.894309,0.774573,0.928571,0.840651,0.901899,0.7885,0.942857,0.880705,True,0.022841333333333342,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8993908661496046,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
26,48144,48144,12379344,1519,False,7,7,20,7.6e-05,0.957143,0.277251,79,ReLU(),119,0.914634,0.816056,0.957143,0.908295,0.924051,0.836586,0.942857,0.880705,False,0.028339333333333345,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.891009220823113,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
5,52240,52240,12383440,1520,False,7,7,21,8.9e-05,0.928571,0.27363,87,ReLU(),120,0.947154,0.885501,0.928571,0.851631,0.943038,0.877701,0.914286,0.822753,True,0.012388666666666678,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8893079671213854,Local,TTVHTN,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1)]"
