,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
60,2677,2677,12333877,1120,False,3,3,21,6.5e-05,0.885714,0.386292,55,ReLU(),120,0.910569,0.809231,0.885714,0.751851,0.905063,0.796571,0.942857,0.877622,True,0.016569999999999974,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7584395966384732,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
15,11009,11009,12342209,2330,False,7,7,31,4.4e-05,0.942857,0.415799,28,LeakyReLU(negative_slope=0.01),230,0.853659,0.691364,0.942857,0.880705,0.873418,0.734627,0.914286,0.822753,True,0.059465333333333335,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7997292161698996,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
59,16507,16507,12347707,944,False,1,1,45,4.3e-05,0.942857,0.378365,30,ReLU(),144,0.873984,0.734652,0.942857,0.875595,0.889241,0.765181,0.885714,0.765375,True,0.04591533333333331,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7675758915288255,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
8,18005,18005,12349205,1234,False,4,4,35,3.8e-05,0.9,0.636371,5,ReLU(),134,0.882114,0.744128,0.9,0.789352,0.892405,0.76296,0.828571,0.625956,True,0.011924000000000046,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8154227880410218,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
30,23656,23656,12354856,2127,False,5,5,28,4.9e-05,0.887324,0.387628,41,LeakyReLU(negative_slope=0.01),227,0.897959,0.779852,0.887324,0.75886,0.898734,0.781789,0.942857,0.880705,True,0.007606666666666688,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7828071917876788,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
44,31178,31178,12362378,1038,False,2,2,39,5.2e-05,0.942857,0.302334,37,ReLU(),138,0.902439,0.791601,0.942857,0.875595,0.911392,0.809891,0.914286,0.822753,True,0.026945333333333304,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7804243907410138,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
17,36032,36032,12367232,1838,False,2,2,39,3.6e-05,0.857143,0.640525,3,LeakyReLU(negative_slope=0.01),238,0.849594,0.676893,0.857143,0.681919,0.876582,0.728166,0.828571,0.630081,True,0.017992000000000008,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7893218285861652,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
66,39726,39726,12370926,945,False,1,1,46,4.5e-05,0.914286,0.377877,34,ReLU(),145,0.906504,0.802001,0.914286,0.814532,0.911392,0.811353,0.914286,0.822753,True,0.005188000000000044,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7702229770252513,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
48,45005,45005,12376205,1337,False,5,5,38,4.9e-05,0.914286,0.371529,37,ReLU(),137,0.910569,0.811377,0.914286,0.81325,0.911392,0.811353,0.942857,0.880705,True,0.0024780000000000544,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7800358581206446,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
82,53538,53538,12384738,1345,False,5,5,46,5.2e-05,0.957143,0.264043,47,ReLU(),145,0.926829,0.842327,0.957143,0.910028,0.933544,0.857717,0.914286,0.822753,True,0.0202093333333333,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.748517570299691,Local,TTVHTNB,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', -1)]"
