,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,group,policy,mcdm_tuples
0,413,413,12331613,1408,False,6,6,9,0.00012,0.914286,0.34835,97,ReLU(),108,0.918699,0.823563,0.914286,0.822753,0.917722,0.823228,0.942857,0.877622,True,0.002942,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9156035586101239,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
21,10292,10292,12341492,819,False,0,0,20,8.6e-05,0.971831,0.247859,93,ReLU(),119,0.914286,0.814552,0.971831,0.940105,0.93038,0.84997,0.942857,0.880705,True,0.038363333333333305,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9026810918406718,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
0,16009,16009,12347209,2012,False,4,4,13,0.0001,0.885714,0.332108,99,LeakyReLU(negative_slope=0.01),212,0.943089,0.877567,0.885714,0.74819,0.93038,0.849071,0.942857,0.880705,True,0.03824999999999997,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9202154449493885,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
7,17496,17496,12348696,1521,False,7,7,22,8.8e-05,0.928571,0.229806,94,ReLU(),121,0.939024,0.866338,0.928571,0.851631,0.936709,0.862604,0.857143,0.708113,True,0.006968666666666623,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8845259838895456,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
83,25376,25376,12356576,1229,False,4,4,30,7.8e-05,0.915493,0.249947,96,ReLU(),129,0.946939,0.886516,0.915493,0.817949,0.943038,0.876175,1.0,1.0,True,0.020963999999999983,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.876473684667615,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
3,29271,29271,12360471,2115,False,5,5,16,0.000102,0.914286,0.330979,96,LeakyReLU(negative_slope=0.01),215,0.930894,0.850557,0.914286,0.818895,0.927215,0.843274,0.942857,0.880705,True,0.01107199999999997,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9134968707587213,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
63,38513,38513,12369713,2024,False,4,4,25,7.6e-05,0.885714,0.289066,95,LeakyReLU(negative_slope=0.01),224,0.95935,0.9121,0.885714,0.751851,0.943038,0.876839,0.885714,0.75333,False,0.04909066666666669,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8821832524266594,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
15,41842,41842,12373042,2215,False,6,6,16,8.9e-05,0.9,0.360113,94,LeakyReLU(negative_slope=0.01),215,0.939024,0.867883,0.9,0.789352,0.93038,0.84997,0.885714,0.75333,False,0.026015999999999966,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.9024624919473809,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
55,47533,47533,12378733,1219,False,4,4,20,7.9e-05,0.9,0.32087,99,ReLU(),119,0.934959,0.859212,0.9,0.789352,0.927215,0.843274,0.914286,0.822753,False,0.023305999999999976,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8866488484470351,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
20,52240,52240,12383440,1520,False,7,7,21,8.9e-05,0.928571,0.27363,87,ReLU(),120,0.947154,0.885501,0.928571,0.851631,0.943038,0.877701,0.914286,0.822753,True,0.012388666666666678,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8875447684227395,Local,TTVHTNE,"[('train_overall_acc', 1), ('validation_overall_acc', 1), ('holdout_overall_acc', 1), ('test_overall_acc', 1), ('num_neurons', -1), ('epoch', 1)]"
