,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,group,policy,mcdm_tuples
5000,5000,12336200,1385,False,5,5,86,6.2e-05,0.914286,0.169268,96,ReLU(),185,0.987805,0.973467,0.914286,0.817018,0.971519,0.938268,0.971429,0.939651,False,0.04901266666666667,ionosphere,17,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
6848,6848,12338048,1694,False,0,0,95,6.1e-05,0.985915,0.151819,98,LeakyReLU(negative_slope=0.01),294,0.97551,0.946586,0.985915,0.969864,0.977848,0.951883,0.971429,0.939651,True,0.006936666666666665,ionosphere,18,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
14054,14054,12345254,2084,False,4,4,85,6.3e-05,0.942857,0.214543,99,LeakyReLU(negative_slope=0.01),284,0.97561,0.947485,0.942857,0.875061,0.968354,0.931484,0.914286,0.822753,True,0.021835333333333356,ionosphere,2,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
21819,21819,12353019,1892,False,2,2,93,5.7e-05,0.9,0.237102,86,LeakyReLU(negative_slope=0.01),292,0.979675,0.955773,0.9,0.782531,0.962025,0.917467,0.857143,0.708113,False,0.053116666666666625,ionosphere,5,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
24835,24835,12356035,1198,False,3,3,99,5.5e-05,0.943662,0.197072,82,ReLU(),198,0.967347,0.928948,0.943662,0.875959,0.962025,0.917164,0.971429,0.939651,False,0.01578999999999997,ionosphere,0,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
31918,31918,12363118,898,False,0,0,99,5.9e-05,0.929577,0.247231,96,ReLU(),198,0.979592,0.955676,0.929577,0.849452,0.968354,0.931484,0.885714,0.75333,False,0.03334333333333336,ionosphere,13,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
39046,39046,12370246,1883,False,2,2,84,6.2e-05,0.885714,0.347645,92,LeakyReLU(negative_slope=0.01),283,0.979675,0.956394,0.885714,0.74567,0.958861,0.91122,0.857143,0.691861,False,0.06264066666666664,ionosphere,14,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
44363,44363,12375563,899,False,0,0,100,5.5e-05,0.887324,0.26059,84,ReLU(),199,0.979592,0.955676,0.887324,0.761091,0.958861,0.91122,0.885714,0.765375,False,0.06151200000000001,ionosphere,11,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
49287,49287,12380487,898,False,0,0,99,6e-05,0.915493,0.21615,95,ReLU(),198,0.97551,0.946872,0.915493,0.814478,0.962025,0.917467,0.914286,0.822753,False,0.04001133333333332,ionosphere,4,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
55024,55024,12386224,1297,False,4,4,98,5.5e-05,0.928571,0.188662,82,ReLU(),197,0.97561,0.946987,0.928571,0.844072,0.96519,0.924284,0.942857,0.880705,False,0.031359333333333295,ionosphere,8,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
