,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
0,1414040,1514840,16063640,5305,False,5,5,6,8.5e-05,0.867647,0.358382,98,Tanh(),605,0.890756,0.75823,0.867647,0.705978,0.888889,0.753942,0.970588,0.938679,True,0.01540600000000003,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9605158717831188,topsis_pareto_oracle
0,1416887,1517687,16066487,300,False,3,3,1,0.00031,0.867647,0.453433,99,Identity(),0,0.865546,0.703477,0.867647,0.705248,0.866013,0.703004,0.941176,0.871212,True,0.0014006666666666057,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9728295816114705,topsis_pareto_oracle
0,1425906,1526706,16075506,2904,False,5,5,5,8.4e-05,0.867647,0.306908,95,SELU(),304,0.903361,0.78889,0.867647,0.710669,0.898693,0.778649,0.970588,0.936382,True,0.02380933333333335,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.957848006756,topsis_pareto_oracle
0,1432460,1533260,16082060,3801,False,6,6,2,0.000165,0.926471,0.398254,97,GELU(approximate=False),401,0.882353,0.738604,0.926471,0.838462,0.892157,0.76088,0.941176,0.871212,True,0.029411999999999994,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9697098958204461,topsis_pareto_oracle
0,1436072,1536872,16085672,2400,False,0,0,1,0.000249,0.867647,0.361093,98,SELU(),300,0.890756,0.75807,0.867647,0.705248,0.885621,0.746354,0.941176,0.871212,True,0.01540600000000003,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9482254737520183,topsis_pareto_oracle
0,1443603,1544403,16093203,2402,False,0,0,3,0.000113,0.852941,0.3641,97,SELU(),302,0.89916,0.777526,0.852941,0.671397,0.888889,0.753942,0.941176,0.871212,True,0.030812666666666672,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9680280530370445,topsis_pareto_oracle
0,1447479,1548279,16097079,400,False,4,4,1,0.000268,0.867647,0.401962,97,Identity(),0,0.844538,0.664252,0.867647,0.720325,0.849673,0.676794,0.941176,0.874007,True,0.015405999999999956,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9471585652244039,topsis_pareto_oracle
0,1453623,1554423,16103223,1307,False,5,5,8,0.00011,0.955882,0.268294,95,ReLU(),107,0.920168,0.824351,0.955882,0.905068,0.931373,0.850086,0.970588,0.938679,True,0.02380933333333335,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9462482167532914,topsis_pareto_oracle
0,1458348,1559148,16107948,3503,False,3,3,4,0.000128,0.941176,0.345442,95,GELU(approximate=False),403,0.92437,0.832995,0.941176,0.870603,0.928105,0.841324,0.970588,0.938679,True,0.011203999999999992,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9607910696425663,topsis_pareto_oracle
0,1461612,1562412,16111212,601,False,6,6,2,0.000157,0.882353,0.369885,98,Identity(),1,0.882353,0.739574,0.882353,0.742652,0.882353,0.74007,0.941176,0.871212,True,0.0,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9714749713209476,topsis_pareto_oracle
0,1471791,1572591,16121391,403,False,4,4,4,9.1e-05,0.852941,0.417676,93,Identity(),3,0.907563,0.796822,0.852941,0.6729,0.895425,0.76962,0.970588,0.938679,True,0.036414666666666706,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9529734367389691,topsis_pareto_oracle
0,1474313,1575113,16123913,4403,False,4,4,4,0.000149,0.838235,0.475998,98,Sigmoid(),503,0.827731,0.627494,0.838235,0.658281,0.833333,0.641386,0.941176,0.874007,True,0.007002666666666639,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9450531870286917,topsis_pareto_oracle
0,1478639,1579439,16128239,4407,False,4,4,8,0.000106,0.852941,0.45354,95,Sigmoid(),507,0.857143,0.694645,0.852941,0.678521,0.856209,0.690849,0.941176,0.874007,True,0.002801333333333359,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.9297693084447679,topsis_pareto_oracle
0,1486810,1587610,16136410,2704,False,3,3,5,8.9e-05,0.867647,0.315022,99,SELU(),304,0.894958,0.767557,0.867647,0.705248,0.888889,0.753564,0.970588,0.938679,True,0.01820733333333339,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.9651215211144704,topsis_pareto_oracle
0,1492081,1592881,16141681,5400,False,6,6,1,0.000194,0.867647,0.465545,99,Tanh(),600,0.890756,0.75823,0.867647,0.705978,0.885621,0.746674,0.941176,0.871212,True,0.01540600000000003,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.9486997829936494,topsis_pareto_oracle
0,1496612,1597412,16146212,1,False,0,0,2,0.000181,0.897059,0.356853,99,Identity(),1,0.878151,0.731289,0.897059,0.781736,0.882353,0.742026,0.941176,0.871212,True,0.012605333333333357,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.9482254737520183,topsis_pareto_oracle
0,1505434,1606234,16155034,3407,False,2,2,8,0.000102,0.852941,0.319578,96,GELU(approximate=False),407,0.915966,0.81455,0.852941,0.6729,0.901961,0.783391,0.970588,0.938679,True,0.04201666666666667,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.9485619700832892,topsis_pareto_oracle
0,1511410,1612210,16161010,3401,False,2,2,2,0.000193,0.823529,0.473398,97,GELU(approximate=False),401,0.89916,0.777526,0.823529,0.603148,0.882353,0.739404,0.941176,0.871212,True,0.05042066666666667,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.9697098958204461,topsis_pareto_oracle
0,1517197,1617997,16166797,5203,False,4,4,4,0.000108,0.835526,0.417256,97,Tanh(),603,0.766917,0.465791,0.835526,0.624089,0.782164,0.500278,0.802632,0.546779,True,0.045739333333333354,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.9440148081996265,topsis_pareto_oracle
0,1521848,1622648,16171448,2200,False,6,6,1,0.000323,0.802632,0.505585,99,LeakyReLU(negative_slope=0.01),200,0.768797,0.460553,0.802632,0.544436,0.776316,0.479382,0.789474,0.511593,True,0.022556666666666707,diabetes,18,exp0090_politica_1_oracle_1m1l,,,0.9541305579265194,topsis_pareto_oracle
0,1524218,1625018,16173818,1710,False,1,1,11,7.4e-05,0.789474,0.458894,92,LeakyReLU(negative_slope=0.01),210,0.776316,0.485534,0.789474,0.536811,0.780702,0.499887,0.815789,0.576804,True,0.008772000000000002,diabetes,2,exp0090_politica_1_oracle_1m1l,,,0.9178399405275892,topsis_pareto_oracle
0,1530180,1630980,16179780,2705,False,3,3,6,7.3e-05,0.822368,0.423046,96,SELU(),305,0.781955,0.495281,0.822368,0.593902,0.792398,0.520818,0.802632,0.544436,True,0.02694200000000002,diabetes,5,exp0090_politica_1_oracle_1m1l,,,0.9539035471192243,topsis_pareto_oracle
0,1534873,1635673,16184473,3503,False,3,3,4,0.000149,0.789474,0.437829,97,GELU(approximate=False),403,0.785714,0.509474,0.789474,0.515768,0.78655,0.510811,0.815789,0.579365,True,0.002506666666666657,diabetes,0,exp0090_politica_1_oracle_1m1l,,,0.9738247511985124,topsis_pareto_oracle
0,1544710,1645510,16194310,2501,False,1,1,2,0.000141,0.756579,0.489832,89,SELU(),301,0.795113,0.529059,0.756579,0.427538,0.78655,0.506822,0.802632,0.544436,True,0.025689333333333304,diabetes,13,exp0090_politica_1_oracle_1m1l,,,0.9084593949513756,topsis_pareto_oracle
0,1549608,1650408,16199208,2903,False,5,5,4,8.5e-05,0.756579,0.470947,99,SELU(),303,0.793233,0.523788,0.756579,0.436616,0.785088,0.504432,0.789474,0.51382,True,0.024435999999999975,diabetes,14,exp0090_politica_1_oracle_1m1l,,,0.9506881616980144,topsis_pareto_oracle
0,1551572,1652372,16201172,1103,False,3,3,4,0.000125,0.782895,0.468056,96,ReLU(),103,0.778196,0.488118,0.782895,0.501535,0.780702,0.494818,0.815789,0.576829,True,0.0031326666666666725,diabetes,11,exp0090_politica_1_oracle_1m1l,,,0.9707493374242587,topsis_pareto_oracle
0,1560455,1661255,16210055,5001,False,2,2,2,0.000264,0.756579,0.55543,99,Tanh(),601,0.789474,0.51382,0.756579,0.443663,0.780702,0.494284,0.802632,0.544436,True,0.021930000000000005,diabetes,4,exp0090_politica_1_oracle_1m1l,,,0.9685869417103465,topsis_pareto_oracle
0,1564504,1665304,16214104,5001,False,2,2,2,0.000217,0.796053,0.453491,92,Tanh(),601,0.781955,0.495824,0.796053,0.528921,0.785088,0.50312,0.802632,0.544436,True,0.009398666666666703,diabetes,8,exp0090_politica_1_oracle_1m1l,,,0.9486501865447152,topsis_pareto_oracle
