,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
0,1415326,1516126,16064926,3204,False,0,0,5,0.000125,0.897059,0.405424,96,GELU(approximate=False),404,0.936975,0.861675,0.897059,0.774559,0.928105,0.841375,0.941176,0.882735,True,0.026610666666666633,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9487747368431406,topsis_pareto_train
0,1421281,1522081,16070881,1304,False,5,5,5,0.000142,0.867647,0.359932,99,ReLU(),104,0.92437,0.833113,0.867647,0.710669,0.911765,0.805483,0.911765,0.804824,True,0.03781533333333339,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.936024459024138,topsis_pareto_train
0,1423158,1523958,16072758,906,False,1,1,7,0.000114,0.911765,0.281454,98,ReLU(),106,0.920168,0.823618,0.911765,0.812404,0.918301,0.819854,0.911765,0.804824,True,0.005601999999999959,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9301657328623103,topsis_pareto_train
0,1433582,1534382,16083182,1502,False,7,7,3,0.000138,0.823529,0.40926,98,ReLU(),102,0.920168,0.824105,0.823529,0.622061,0.898693,0.777751,0.911765,0.812032,True,0.06442600000000002,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9450365960791122,topsis_pareto_train
0,1435010,1535810,16084610,3905,False,7,7,6,0.000117,0.941176,0.291568,92,GELU(approximate=False),405,0.928571,0.842751,0.941176,0.874007,0.931373,0.849414,0.941176,0.871212,True,0.008403333333333318,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9267988146997872,topsis_pareto_train
0,1440394,1541194,16089994,2305,False,7,7,6,0.000105,0.911765,0.349696,99,LeakyReLU(negative_slope=0.01),205,0.92437,0.832995,0.911765,0.806818,0.921569,0.826869,0.911765,0.812032,True,0.008403333333333318,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9366274836888914,topsis_pareto_train
0,1450001,1550801,16099601,905,False,1,1,6,0.00012,0.852941,0.430825,98,ReLU(),105,0.92437,0.833113,0.852941,0.6729,0.908497,0.797843,0.911765,0.804824,True,0.04761933333333338,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9361623439582542,topsis_pareto_train
0,1453660,1554460,16103260,3203,False,0,0,4,0.000141,0.882353,0.38091,99,GELU(approximate=False),403,0.920168,0.825723,0.882353,0.742652,0.911765,0.80529,0.911765,0.812032,True,0.025209999999999955,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.934455463133891,topsis_pareto_train
0,1458348,1559148,16107948,3503,False,3,3,4,0.000128,0.941176,0.345442,95,GELU(approximate=False),403,0.92437,0.832995,0.941176,0.870603,0.928105,0.841324,0.970588,0.938679,True,0.011203999999999992,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9361806632496399,topsis_pareto_train
0,1462055,1562855,16111655,3802,False,6,6,3,0.000146,0.911765,0.37484,98,GELU(approximate=False),402,0.915966,0.814254,0.911765,0.80647,0.915033,0.812311,0.911765,0.804824,True,0.0028006666666665994,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9381802117566388,topsis_pareto_train
0,1470696,1571496,16120296,1904,False,3,3,5,0.00014,0.897059,0.34438,96,LeakyReLU(negative_slope=0.01),204,0.932773,0.851971,0.897059,0.771855,0.924837,0.83425,0.941176,0.871212,True,0.023809333333333276,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9426975897803181,topsis_pareto_train
